@relation 'RandomTit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R3,2,6-7,5,8,4,1_clustered'

@attribute Instance_number numeric
@attribute ﻿Survived {0,1}
@attribute Pclass {1,2,3}
@attribute Sex {0,1}
@attribute Age {0,1,2,3,4}
@attribute Fare {0,1,2,3}
@attribute Has_Cabin {0,1}
@attribute FamilySize {1,2,3,4,5,6,7,8,11}
@attribute IsAlone {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
116,0,1,1,1,3,1,3,0,cluster1
117,1,3,0,1,0,0,1,1,cluster4
118,0,3,1,2,2,0,3,0,cluster3
119,1,1,0,1,2,1,3,0,cluster1
120,1,3,1,0,2,0,3,0,cluster3
121,0,3,1,1,0,0,1,1,cluster4
122,0,3,1,1,0,0,1,1,cluster4
123,0,3,1,2,0,0,1,1,cluster4
124,0,3,1,1,2,0,2,0,cluster3
125,0,3,1,2,0,0,1,1,cluster4
126,0,3,1,1,0,0,1,1,cluster4
127,1,2,0,2,2,0,2,0,cluster3
128,0,3,0,1,1,0,3,0,cluster3
129,1,1,0,1,3,1,2,0,cluster1
130,1,3,1,0,1,0,2,0,cluster3
131,0,3,1,0,2,0,1,1,cluster4
132,1,3,0,1,2,0,3,0,cluster3
133,1,1,1,2,3,1,2,0,cluster1
134,0,3,1,2,0,0,1,1,cluster4
135,0,3,1,1,0,0,1,1,cluster4
136,0,3,1,1,0,0,2,0,cluster3
137,1,2,1,3,1,0,1,1,cluster0
138,1,2,0,3,1,0,1,1,cluster0
139,1,1,0,2,3,0,3,0,cluster1
140,0,3,0,1,1,0,2,0,cluster3
141,0,1,1,2,3,1,1,1,cluster2
142,1,3,0,0,0,0,1,1,cluster4
143,1,3,0,1,0,0,2,0,cluster3
144,1,1,0,2,3,1,1,1,cluster2
145,0,1,1,3,3,1,1,1,cluster2
146,1,3,0,1,0,0,1,1,cluster4
147,0,1,1,3,2,1,1,1,cluster2
148,1,3,1,0,1,1,2,0,cluster3
149,0,3,1,1,0,0,1,1,cluster4
150,1,1,0,2,3,1,2,0,cluster1
151,0,2,1,2,2,1,3,0,cluster3
152,1,3,1,0,1,0,2,0,cluster3
153,1,1,1,1,3,1,2,0,cluster1
154,0,3,1,2,0,0,1,1,cluster4
155,0,3,1,0,1,0,1,1,cluster4
156,0,2,1,2,1,0,1,1,cluster0
157,0,1,1,3,3,1,2,0,cluster1
158,1,3,0,1,1,0,1,1,cluster4
159,0,1,1,2,3,0,2,0,cluster1
160,0,3,1,2,1,0,1,1,cluster4
161,0,3,0,1,0,0,1,1,cluster4
162,1,3,0,1,1,0,2,0,cluster3
163,0,3,1,0,0,0,3,0,cluster3
164,0,2,1,1,1,0,1,1,cluster0
165,0,3,0,1,2,0,3,0,cluster3
166,0,3,1,1,0,0,1,1,cluster4
167,0,3,1,1,0,0,1,1,cluster4
168,0,3,1,2,2,0,1,1,cluster4
169,0,3,1,1,0,0,2,0,cluster3
170,1,1,0,3,3,1,2,0,cluster1
171,0,3,1,2,0,0,1,1,cluster4
172,0,3,1,1,0,0,1,1,cluster4
173,0,3,1,3,0,0,1,1,cluster4
174,1,3,0,1,2,0,3,0,cluster3
175,0,1,1,2,2,1,1,1,cluster2
176,1,1,0,1,3,1,1,1,cluster2
177,0,3,1,1,1,0,1,1,cluster4
178,0,1,1,3,3,1,6,0,cluster1
179,1,2,0,2,2,0,2,0,cluster3
180,0,2,1,2,2,0,2,0,cluster3
181,1,2,0,1,2,0,3,0,cluster3
182,0,3,1,2,0,0,1,1,cluster4
183,1,1,0,1,3,1,1,1,cluster2
184,0,3,1,2,2,0,5,0,cluster3
185,0,3,1,1,2,0,1,1,cluster4
186,0,3,1,1,1,0,1,1,cluster4
187,0,3,1,2,2,0,1,1,cluster4
188,0,2,1,3,1,0,1,1,cluster0
189,1,3,0,0,0,0,1,1,cluster4
190,0,2,1,1,1,0,1,1,cluster0
191,0,3,1,0,1,0,1,1,cluster4
192,0,3,1,2,0,0,1,1,cluster4
193,1,3,1,2,1,0,1,1,cluster4
194,0,3,1,1,0,0,2,0,cluster3
195,0,2,1,2,0,0,1,1,cluster4
196,0,3,1,2,0,0,1,1,cluster4
197,1,1,1,2,3,1,2,0,cluster1
198,1,1,0,1,3,1,1,1,cluster2
199,0,3,1,2,0,0,1,1,cluster4
200,0,3,1,2,1,0,1,1,cluster4
201,1,1,0,2,3,0,1,1,cluster2
202,1,3,1,1,1,0,1,1,cluster4
203,0,3,1,1,0,0,1,1,cluster4
204,1,3,1,1,0,0,1,1,cluster4
205,0,2,1,2,1,0,1,1,cluster0
206,0,3,1,1,0,0,1,1,cluster4
207,1,2,0,1,1,1,1,1,cluster0
208,0,3,0,2,0,0,1,1,cluster4
209,1,1,0,1,3,1,6,0,cluster1
210,1,1,1,3,2,1,1,1,cluster2
211,0,3,1,0,3,0,8,0,cluster3
212,0,3,0,2,2,0,2,0,cluster3
213,0,3,0,1,3,0,11,0,cluster3
214,0,3,1,1,1,0,1,1,cluster4
215,1,1,0,2,3,1,2,0,cluster1
216,0,3,1,1,2,0,2,0,cluster3
217,1,3,0,1,2,0,2,0,cluster3
218,1,3,1,1,1,0,2,0,cluster3
219,1,1,0,2,3,1,1,1,cluster2
220,1,2,0,2,2,0,3,0,cluster3
221,1,2,0,0,2,0,3,0,cluster3
222,0,3,1,2,0,0,1,1,cluster4
223,1,1,0,0,3,1,2,0,cluster1
224,0,2,1,1,3,0,3,0,cluster3
225,0,3,1,1,0,0,1,1,cluster4
226,1,2,0,3,2,0,2,0,cluster3
227,1,3,1,1,0,0,1,1,cluster4
228,0,3,1,2,0,0,1,1,cluster4
229,0,3,1,2,0,0,1,1,cluster4
230,1,3,1,1,0,0,2,0,cluster3
231,1,2,0,1,2,0,2,0,cluster3
232,0,2,1,1,1,0,1,1,cluster0
233,1,2,0,2,3,0,3,0,cluster3
234,0,3,1,0,3,0,8,0,cluster3
235,1,3,1,1,2,0,1,1,cluster4
236,0,2,1,0,2,0,1,1,cluster0
237,0,2,1,1,3,0,1,1,cluster0
238,1,1,0,1,3,1,1,1,cluster2
239,0,2,1,1,1,0,2,0,cluster3
240,0,2,1,1,1,0,1,1,cluster0
241,1,2,0,2,2,0,3,0,cluster3
242,0,3,1,1,2,0,1,1,cluster4
243,0,3,1,1,0,0,2,0,cluster3
244,1,1,0,1,3,1,6,0,cluster1
245,0,3,1,1,1,0,1,1,cluster4
246,1,3,0,2,2,0,2,0,cluster3
247,0,3,1,1,0,0,1,1,cluster4
248,1,1,1,1,2,1,1,1,cluster2
249,0,2,1,1,1,0,1,1,cluster0
250,0,3,1,3,0,0,1,1,cluster4
251,0,3,1,1,0,0,2,0,cluster3
252,0,3,1,2,0,0,1,1,cluster4
253,0,3,0,0,2,0,6,0,cluster3
254,1,3,0,1,2,0,4,0,cluster3
255,0,3,0,1,2,0,3,0,cluster3
256,1,3,1,1,3,0,1,1,cluster4
257,1,1,0,3,3,1,2,0,cluster1
258,0,3,1,1,0,0,1,1,cluster4
259,0,3,1,2,3,0,11,0,cluster3
260,0,3,1,1,0,0,1,1,cluster4
261,0,2,1,2,2,0,2,0,cluster3
262,1,3,0,2,2,0,3,0,cluster3
263,0,2,1,2,1,0,1,1,cluster0
264,1,3,0,1,1,0,1,1,cluster4
265,1,3,1,0,2,0,3,0,cluster3
266,0,1,1,2,2,1,1,1,cluster2
267,0,3,1,2,0,0,2,0,cluster3
268,0,3,0,1,1,0,1,1,cluster4
269,0,3,1,1,0,0,1,1,cluster4
270,0,3,1,1,0,0,1,1,cluster4
271,0,2,1,2,1,0,1,1,cluster0
272,1,1,0,2,3,1,3,0,cluster1
273,0,3,0,1,2,0,3,0,cluster3
274,0,3,1,1,1,0,1,1,cluster4
275,0,3,0,1,2,0,2,0,cluster3
276,0,1,1,2,2,0,1,1,cluster2
277,0,3,1,2,0,0,1,1,cluster4
278,0,3,0,1,1,0,1,1,cluster4
279,0,1,1,1,3,1,2,0,cluster1
280,1,1,1,2,2,1,1,1,cluster2
281,1,1,1,2,2,1,1,1,cluster2
282,0,2,1,1,3,0,2,0,cluster3
283,0,3,1,0,3,0,7,0,cluster3
284,0,3,1,2,1,0,1,1,cluster4
285,0,3,0,0,3,0,7,0,cluster3
286,0,3,1,1,1,0,1,1,cluster4
287,0,3,1,1,2,0,2,0,cluster3
288,1,1,1,1,2,1,1,1,cluster2
289,0,2,1,2,1,0,1,1,cluster0
290,1,3,0,1,1,0,1,1,cluster4
291,1,1,0,1,3,1,3,0,cluster1
292,0,2,1,1,1,0,1,1,cluster0
293,1,3,0,1,0,0,1,1,cluster4
294,0,3,1,2,1,0,1,1,cluster4
295,0,2,1,1,1,0,1,1,cluster0
296,1,1,1,2,2,1,1,1,cluster2
297,0,3,1,1,0,0,1,1,cluster4
298,1,1,0,1,3,0,1,1,cluster2
299,0,3,1,1,0,0,1,1,cluster4
300,1,3,0,2,2,0,4,0,cluster3
301,0,3,1,1,1,0,1,1,cluster4
302,0,3,1,1,0,0,1,1,cluster4
303,1,1,1,1,3,1,1,1,cluster2
304,1,2,0,2,2,0,1,1,cluster0
305,0,1,1,2,3,1,1,1,cluster2
306,1,1,0,2,3,1,2,0,cluster1
307,1,2,0,1,1,1,1,1,cluster0
308,1,1,0,2,3,0,2,0,cluster1
309,0,3,1,0,3,0,6,0,cluster3
310,1,1,0,3,3,1,3,0,cluster1
311,0,1,1,1,2,1,1,1,cluster2
312,0,2,1,1,1,0,1,1,cluster0
313,1,1,0,3,3,1,2,0,cluster1
314,0,3,1,1,0,0,1,1,cluster4
315,1,1,0,1,3,1,1,1,cluster2
316,1,1,0,1,3,0,1,1,cluster2
317,0,2,1,2,1,0,1,1,cluster0
318,0,2,1,2,1,0,1,1,cluster0
319,0,3,1,2,0,0,1,1,cluster4
320,1,2,0,2,1,0,1,1,cluster0
321,0,3,0,1,2,0,5,0,cluster3
322,0,1,0,3,2,1,1,1,cluster2
323,0,1,1,3,3,1,2,0,cluster1
324,0,2,1,1,1,0,1,1,cluster0
325,0,3,1,1,0,0,1,1,cluster4
326,0,3,1,1,0,0,1,1,cluster4
327,0,3,1,1,0,0,1,1,cluster4
328,1,3,0,1,1,0,3,0,cluster3
329,0,3,1,1,0,1,1,1,cluster4
330,0,3,1,1,1,0,1,1,cluster4
331,0,3,0,0,2,0,6,0,cluster3
332,1,1,1,1,2,1,1,1,cluster2
333,1,3,0,1,0,0,1,1,cluster4
334,0,2,1,1,1,0,1,1,cluster0
335,0,3,1,1,1,0,1,1,cluster4
336,0,3,0,0,2,0,4,0,cluster3
337,0,3,1,1,0,0,1,1,cluster4
338,0,3,0,0,2,0,3,0,cluster3
339,0,3,0,1,0,0,1,1,cluster4
340,0,1,1,2,3,1,1,1,cluster2
341,0,3,1,2,2,0,3,0,cluster3
342,1,3,1,0,2,0,4,0,cluster3
343,1,3,1,1,0,0,1,1,cluster4
344,0,3,1,1,0,0,1,1,cluster4
345,0,3,0,2,2,0,6,0,cluster3
346,0,1,1,2,3,1,2,0,cluster1
347,1,1,0,2,3,1,2,0,cluster1
348,0,3,1,1,1,0,1,1,cluster4
349,0,3,1,1,0,0,1,1,cluster4
350,0,3,1,0,0,0,1,1,cluster4
351,0,2,1,1,3,0,3,0,cluster3
352,1,2,0,2,1,1,1,1,cluster0
353,0,1,1,2,2,1,2,0,cluster1
354,0,3,1,1,1,0,1,1,cluster4
355,0,3,1,1,2,0,2,0,cluster3
356,1,1,1,1,3,1,1,1,cluster2
357,0,3,1,2,1,0,3,0,cluster3
358,0,1,1,1,3,0,1,1,cluster2
359,0,1,1,4,3,1,2,0,cluster1
360,1,2,1,0,2,0,3,0,cluster3
361,0,3,1,3,1,0,1,1,cluster4
362,1,2,1,0,3,1,4,0,cluster3
363,0,2,1,1,1,0,1,1,cluster0
364,0,3,0,2,1,0,1,1,cluster4
365,1,3,0,0,0,0,1,1,cluster4
366,1,1,0,1,3,0,1,1,cluster2
367,1,3,0,2,2,0,2,0,cluster3
368,0,3,1,2,0,0,1,1,cluster4
369,0,3,1,1,1,0,1,1,cluster4
370,0,2,1,1,2,0,3,0,cluster3
371,0,3,1,1,0,0,1,1,cluster4
372,0,3,1,2,0,0,1,1,cluster4
373,0,1,1,1,3,1,6,0,cluster1
374,0,2,1,1,1,0,1,1,cluster0
375,0,3,1,1,1,0,3,0,cluster3
376,1,2,1,1,2,0,2,0,cluster3
377,0,3,0,0,3,0,7,0,cluster3
378,0,3,1,2,3,0,7,0,cluster3
379,0,3,1,2,2,0,3,0,cluster3
380,0,3,1,1,1,0,1,1,cluster4
381,1,1,0,1,3,1,1,1,cluster2
382,1,1,0,1,3,1,2,0,cluster1
383,0,3,1,1,0,1,1,1,cluster4
384,0,3,1,1,0,0,1,1,cluster4
385,0,1,1,3,3,1,3,0,cluster1
386,1,1,1,2,2,1,1,1,cluster2
387,0,2,1,2,2,0,2,0,cluster3
388,0,3,0,1,1,0,1,1,cluster4
389,0,3,0,0,3,0,7,0,cluster3
390,0,3,1,1,2,0,2,0,cluster3
391,1,1,1,0,3,1,4,0,cluster1
392,0,3,1,2,2,0,2,0,cluster3
393,0,3,1,4,0,0,1,1,cluster4
394,0,3,0,2,1,0,1,1,cluster4
395,1,3,0,1,2,0,2,0,cluster3
396,0,3,0,1,2,0,1,1,cluster4
397,1,1,0,3,3,1,2,0,cluster1
398,1,2,1,0,2,1,3,0,cluster3
399,1,1,1,1,2,1,1,1,cluster2
400,0,3,0,1,2,0,5,0,cluster3
401,0,3,1,0,2,0,5,0,cluster3
402,0,3,1,1,0,0,1,1,cluster4
403,1,3,1,1,3,0,1,1,cluster4
404,0,2,1,1,1,0,1,1,cluster0
405,1,3,0,0,1,0,2,0,cluster3
406,1,3,1,1,3,0,1,1,cluster4
407,0,1,1,2,0,1,1,1,cluster2
408,0,3,1,0,1,0,1,1,cluster4
409,1,1,1,2,3,1,3,0,cluster1
410,1,1,1,0,3,1,4,0,cluster1
411,0,2,1,1,2,0,2,0,cluster3
412,1,1,1,2,3,1,1,1,cluster2
413,1,2,0,1,2,0,3,0,cluster3
414,1,1,1,1,3,1,2,0,cluster1
415,0,3,1,0,2,0,3,0,cluster3
416,0,2,1,1,1,0,1,1,cluster0
417,0,3,0,1,3,0,5,0,cluster3
418,0,3,1,1,0,0,1,1,cluster4
419,0,1,1,3,3,1,3,0,cluster1
420,1,1,1,3,3,1,2,0,cluster1
421,1,3,0,2,2,0,2,0,cluster3
422,0,3,1,2,0,0,1,1,cluster4
423,0,3,1,1,2,0,2,0,cluster3
424,0,1,1,3,2,0,1,1,cluster2
425,0,1,0,1,3,1,4,0,cluster1
426,0,3,1,0,2,0,6,0,cluster3
427,1,2,1,0,2,0,3,0,cluster3
428,0,2,1,2,2,0,2,0,cluster3
429,0,3,1,2,1,0,2,0,cluster3
430,0,1,1,3,2,1,1,1,cluster2
431,0,2,1,1,1,0,1,1,cluster0
432,1,2,0,1,1,0,1,1,cluster0
433,0,1,1,2,3,1,1,1,cluster2
434,0,3,1,1,1,0,1,1,cluster4
435,0,3,0,1,2,0,5,0,cluster3
436,0,1,1,1,2,0,1,1,cluster2
437,0,3,0,0,2,0,5,0,cluster3
438,0,3,1,2,0,0,1,1,cluster4
439,1,1,0,1,3,1,3,0,cluster1
440,0,3,1,1,1,0,1,1,cluster4
441,1,1,1,3,2,1,1,1,cluster2
442,0,3,1,2,1,0,1,1,cluster4
443,1,3,1,1,0,0,1,1,cluster4
444,0,3,1,0,3,0,8,0,cluster3
445,0,2,1,1,1,0,1,1,cluster0
446,1,1,1,3,3,1,3,0,cluster1
447,0,2,1,1,3,0,3,0,cluster3
448,0,3,0,1,0,0,1,1,cluster4
449,1,2,0,0,3,0,2,0,cluster3
450,0,1,1,1,3,1,1,1,cluster2
451,1,1,1,3,3,1,1,1,cluster2
452,1,1,0,2,3,1,3,0,cluster1
453,0,3,1,2,1,0,1,1,cluster4
454,1,2,0,1,1,0,1,1,cluster0
455,0,2,1,3,2,0,1,1,cluster0
456,1,3,0,0,1,0,1,1,cluster4
457,0,2,1,3,1,0,1,1,cluster0
458,0,3,1,2,0,0,1,1,cluster4
459,0,2,1,1,3,0,4,0,cluster3
460,0,3,1,0,2,0,6,0,cluster3
461,0,2,1,4,1,0,1,1,cluster0
462,0,3,1,3,0,0,1,1,cluster4
463,0,3,1,2,2,0,6,0,cluster3
464,0,1,1,2,3,1,2,0,cluster1
465,1,3,0,1,0,0,1,1,cluster4
466,1,3,0,1,0,0,1,1,cluster4
467,1,2,0,1,1,0,1,1,cluster0
468,0,1,0,0,3,1,4,0,cluster1
469,0,2,1,1,2,0,2,0,cluster3
470,0,3,0,1,2,0,2,0,cluster3
471,1,1,1,1,2,1,1,1,cluster2
472,1,3,0,1,1,0,7,0,cluster3
473,0,3,1,0,2,0,2,0,cluster3
474,1,1,0,2,3,0,1,1,cluster2
475,1,2,1,0,3,0,3,0,cluster3
476,1,3,1,1,0,0,1,1,cluster4
477,0,3,0,0,3,0,7,0,cluster3
478,0,2,0,3,1,1,1,1,cluster0
479,0,3,0,0,2,0,2,0,cluster3
480,0,2,1,2,2,0,1,1,cluster0
481,0,2,1,2,2,0,1,1,cluster0
482,0,1,1,0,3,0,1,1,cluster2
483,1,2,0,2,1,0,1,1,cluster0
484,0,1,1,0,2,0,1,1,cluster2
485,1,1,0,1,3,1,2,0,cluster1
486,0,3,1,1,1,0,1,1,cluster4
487,1,2,0,1,3,0,4,0,cluster3
488,1,1,0,2,3,0,2,0,cluster1
489,0,3,1,1,1,0,1,1,cluster4
490,0,3,1,1,0,0,1,1,cluster4
491,1,2,0,1,1,1,1,1,cluster0
492,1,2,0,1,2,0,2,0,cluster3
493,0,3,1,1,1,0,1,1,cluster4
494,0,1,1,3,2,1,1,1,cluster2
495,1,1,0,0,3,1,2,0,cluster1
496,0,3,1,2,0,0,1,1,cluster4
497,0,3,0,2,2,0,6,0,cluster3
498,1,1,0,3,3,1,1,1,cluster2
499,0,3,1,1,1,0,1,1,cluster4
500,0,2,1,2,1,0,1,1,cluster0
501,1,3,1,0,3,0,7,0,cluster3
502,0,2,1,1,1,0,1,1,cluster0
503,0,3,1,1,1,0,1,1,cluster4
504,0,3,0,0,3,0,5,0,cluster3
505,0,3,0,1,0,0,1,1,cluster4
506,1,1,0,1,3,1,1,1,cluster2
507,0,3,0,1,2,0,2,0,cluster3
508,1,2,1,2,1,0,1,1,cluster0
509,0,3,1,1,1,0,3,0,cluster3
510,1,3,0,0,0,0,1,1,cluster4
511,0,3,1,1,1,0,1,1,cluster4
512,0,3,1,2,2,0,3,0,cluster3
513,0,3,1,1,2,0,1,1,cluster4
514,0,2,1,1,1,0,1,1,cluster0
515,0,1,1,2,0,1,1,1,cluster2
516,0,2,0,1,2,0,3,0,cluster3
517,0,3,0,1,2,0,2,0,cluster3
518,0,3,1,1,0,0,1,1,cluster4
519,1,2,0,3,2,0,5,0,cluster3
520,0,3,0,1,1,0,1,1,cluster4
521,1,1,0,2,3,1,3,0,cluster1
522,0,3,0,1,0,0,1,1,cluster4
523,0,3,1,1,3,0,1,1,cluster4
524,0,3,1,1,1,0,1,1,cluster4
525,0,2,1,2,1,1,1,1,cluster0
526,1,1,1,2,2,0,1,1,cluster2
527,1,3,0,1,2,0,2,0,cluster3
528,0,3,0,2,2,0,2,0,cluster3
529,0,2,1,3,1,0,1,1,cluster0
530,1,1,0,2,3,1,1,1,cluster2
531,0,2,1,2,2,0,2,0,cluster3
532,1,2,0,2,1,1,1,1,cluster0
533,0,1,1,3,2,0,1,1,cluster2
534,1,2,0,1,2,0,2,0,cluster3
535,0,3,1,2,3,0,11,0,cluster3
536,0,3,1,1,0,0,1,1,cluster4
537,0,3,0,2,0,0,1,1,cluster4
538,0,1,1,1,3,0,1,1,cluster2
539,1,2,0,2,1,0,1,1,cluster0
540,1,1,0,1,3,1,2,0,cluster1
541,0,3,0,1,1,0,1,1,cluster4
542,0,2,1,3,1,0,1,1,cluster0
543,1,3,0,0,2,0,2,0,cluster3
544,0,3,1,1,0,0,1,1,cluster4
545,0,3,1,1,1,0,1,1,cluster4
546,1,3,1,1,0,0,1,1,cluster4
547,1,3,0,2,0,0,1,1,cluster4
548,0,3,1,1,0,0,1,1,cluster4
549,0,3,1,3,0,0,1,1,cluster4
550,0,2,1,1,3,0,1,1,cluster0
551,0,3,1,0,3,0,8,0,cluster3
552,0,3,1,2,0,0,1,1,cluster4
553,0,3,1,2,0,0,1,1,cluster4
554,1,1,0,1,3,1,2,0,cluster1
555,0,3,1,1,1,0,1,1,cluster4
556,0,1,1,4,3,1,3,0,cluster1
557,1,1,0,1,3,1,2,0,cluster1
558,0,2,1,4,1,0,1,1,cluster0
559,1,3,1,1,0,0,1,1,cluster4
560,1,3,0,2,0,0,1,1,cluster4
561,1,3,0,0,2,0,4,0,cluster3
562,1,1,0,2,3,1,2,0,cluster1
563,1,1,0,0,3,1,2,0,cluster1
564,1,3,0,2,2,0,3,0,cluster3
565,1,3,0,0,0,0,1,1,cluster4
566,1,1,1,2,3,1,2,0,cluster1
567,1,2,0,1,1,0,1,1,cluster0
568,0,3,1,1,3,0,11,0,cluster3
569,1,3,0,2,3,0,7,0,cluster3
570,1,3,0,3,1,0,1,1,cluster4
571,0,1,1,1,2,1,1,1,cluster2
572,1,3,0,1,1,0,1,1,cluster4
573,1,1,0,3,3,0,2,0,cluster1
574,1,1,0,1,2,1,1,1,cluster2
575,1,1,1,1,3,1,1,1,cluster2
576,0,3,0,0,2,0,3,0,cluster3
577,1,2,0,1,2,0,2,0,cluster3
578,1,3,0,0,2,0,3,0,cluster3
579,0,3,1,2,2,0,4,0,cluster3
580,0,3,0,2,2,0,3,0,cluster3
581,0,2,1,1,1,0,1,1,cluster0
582,1,2,0,1,2,0,4,0,cluster3
583,0,2,1,3,2,0,2,0,cluster3
