@relation 'RandomTit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.75-A5-M-1_clustered'

@attribute Instance_number numeric
@attribute 0.393IsAlone=1+0.393FamilySize=1-0.328Fare=3-0.296Pclass=1-0.287Has_Cabin=1... numeric
@attribute 0.427Pclass=1+0.378Has_Cabin=1-0.313Pclass=3+0.312IsAlone=1+0.312FamilySize=1... numeric
@attribute 0.597Pclass=2+0.386Fare=1-0.383Pclass=3-0.355Fare=0-0.222Fare=3... numeric
@attribute -0.692Age=1+0.609Age=2-0.198FamilySize=2+0.159Age=0+0.108IsAlone=1... numeric
@attribute 0.425Fare=2-0.382Age=0-0.357Fare=1-0.338FamilySize=7-0.297Fare=3... numeric
@attribute 0.405FamilySize=2+0.361Age=2+0.301FamilySize=11-0.3Fare=2-0.278Age=0... numeric
@attribute 0.643FamilySize=4-0.434Age=3-0.306FamilySize=2-0.269FamilySize=6-0.253Fare=1... numeric
@attribute 0.699FamilySize=3-0.315FamilySize=4+0.315FamilySize=11-0.261FamilySize=5-0.244FamilySize=2... numeric
@attribute -0.65FamilySize=5+0.328Sex=1+0.292Age=4+0.277FamilySize=2+0.263FamilySize=6... numeric
@attribute -0.631FamilySize=11-0.477FamilySize=6+0.415FamilySize=7-0.205FamilySize=5+0.186Fare=0... numeric
@attribute 0.721FamilySize=8-0.456FamilySize=7-0.346FamilySize=6+0.324FamilySize=5+0.118Age=3... numeric
@attribute ﻿Survived {0,1}
@attribute Cluster {cluster0,cluster1}

@data
37,-1.186666,-1.76868,-0.291728,1.122193,2.402757,1.367078,-1.112429,-0.544002,0.817181,0.325649,0.162858,0,cluster1
38,2.064702,0.248056,-1.406413,1.798364,1.050114,0.387247,0.359538,0.006199,0.047039,0.334693,0.087882,0,cluster1
39,1.101535,0.592139,-0.89502,-1.003561,-0.747566,0.057577,0.145622,0.318526,0.112391,-0.393749,-0.023877,0,cluster0
40,1.534924,-0.55309,0.060226,-0.654719,0.911121,-0.877235,-0.139425,-0.195135,0.027741,-0.352648,-0.018492,0,cluster0
41,0.25459,-1.277703,-1.347595,-1.890899,1.347315,1.204361,-0.672062,-0.256581,1.230049,0.730587,0.145826,0,cluster0
42,-4.0798,0.151873,-0.797592,0.221363,-2.497551,-1.214254,4.165945,-2.118108,0.728254,-0.198489,-0.050902,1,cluster1
43,1.918,0.554354,1.042561,-0.78594,0.189294,-0.400117,0.960525,0.021931,0.613738,0.293066,0.156586,0,cluster0
44,-3.81828,2.456479,-0.538308,-0.587369,0.020718,-0.176104,-2.280941,-0.441562,0.225304,0.581456,0.456005,1,cluster1
45,-1.19617,-3.645518,-1.328723,1.306346,-0.736625,-2.973829,-2.298989,-1.788613,2.066355,-3.003798,-2.141222,0,cluster1
46,2.127025,-0.096221,-1.110662,-1.138839,0.334232,0.034722,0.725781,-0.34936,-0.442407,0.352573,-0.054845,1,cluster0
47,-3.540097,1.899253,-0.933653,0.593799,0.844868,1.601158,-0.394344,-0.105519,0.895523,0.181275,-0.031758,1,cluster1
48,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
49,-1.62956,-2.500289,-2.28397,0.957504,-2.395311,-2.039017,-2.013942,-1.274951,2.151005,-3.044898,-2.146607,0,cluster1
50,-3.477774,1.554976,-0.637902,-2.343404,0.128986,1.248633,-0.028102,-0.461079,0.406077,0.199155,-0.174485,1,cluster0
51,-0.556219,-2.439028,0.178553,-1.13983,1.407471,-1.194136,-0.121263,2.326233,-0.285878,0.08507,-0.208474,0,cluster0
52,-3.084358,1.744169,-0.728267,-2.139288,0.24765,0.887558,-0.423643,-0.062475,1.092308,0.040074,-0.093461,0,cluster0
53,-3.933513,1.710061,-0.843289,0.389683,0.726203,1.962233,0.001196,-0.504122,0.209291,0.340356,-0.112781,1,cluster1
54,0.144661,2.770761,-1.093092,1.618813,1.150912,-0.313485,0.792576,-0.068979,0.040731,0.23142,-0.101348,0,cluster1
55,-1.632266,-1.728563,0.091156,-1.457186,1.31031,-1.06704,0.385925,1.931311,-1.041528,0.204945,-0.411186,1,cluster0
56,1.837418,0.258372,0.313469,2.006614,-0.294553,1.115897,-0.641229,0.110253,-0.209791,-0.248624,-0.094193,1,cluster1
57,0.956793,1.27698,2.952401,0.97423,-1.382305,-0.73513,-1.897541,-0.253103,-0.510096,0.251132,0.523976,0,cluster1
58,2.293157,0.103288,0.518855,-0.726473,-0.89177,0.402297,-0.670528,0.153296,-0.013006,-0.389826,-0.155896,1,cluster0
59,-1.552429,3.827154,-0.39174,0.368807,-0.8737,-1.706817,-1.278639,-0.135738,-0.760921,0.044361,0.336358,0,cluster1
60,2.293157,0.103288,0.518855,-0.726473,-0.89177,0.402297,-0.670528,0.153296,-0.013006,-0.389826,-0.155896,0,cluster0
61,2.293157,0.103288,0.518855,-0.726473,-0.89177,0.402297,-0.670528,0.153296,-0.013006,-0.389826,-0.155896,0,cluster0
62,-2.960941,1.041559,-0.095652,-0.003064,-0.398854,-1.78974,-1.372124,2.381949,-1.005121,0.521285,0.268065,1,cluster1
63,2.064702,0.248056,-1.406413,1.798364,1.050114,0.387247,0.359538,0.006199,0.047039,0.334693,0.087882,0,cluster1
64,0.99535,-0.363681,2.27896,1.281492,-2.343819,-0.589479,-0.261753,-0.389897,0.434865,0.073692,0.067102,0,cluster1
65,0.563377,1.087788,3.042766,0.770114,-1.50097,-0.374055,-1.502,-0.651706,-1.196328,0.410213,0.442953,1,cluster1
66,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
67,1.2973,0.375478,2.852808,-0.781806,-1.274038,0.689607,0.355298,-0.272619,-0.329324,-0.13117,-0.106513,1,cluster0
68,2.293157,0.103288,0.518855,-0.726473,-0.89177,0.402297,-0.670528,0.153296,-0.013006,-0.389826,-0.155896,1,cluster0
69,1.837418,0.258372,0.313469,2.006614,-0.294553,1.115897,-0.641229,0.110253,-0.209791,-0.248624,-0.094193,0,cluster1
70,-1.72637,-3.51606,-0.155667,0.749757,-0.939662,-1.448334,3.447861,-2.556591,0.649912,-0.054116,0.143714,1,cluster1
71,-4.17314,0.626625,-1.121386,-0.484223,-1.05946,0.330622,-0.249612,-0.97696,0.484034,0.563098,-0.081893,1,cluster1
72,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,1,cluster0
73,-1.333368,-1.462382,2.157246,-1.462111,1.541936,0.579713,-0.511443,-0.528271,1.383879,0.284022,0.231562,0,cluster0
74,2.127025,-0.096221,-1.110662,-1.138839,0.334232,0.034722,0.725781,-0.34936,-0.442407,0.352573,-0.054845,0,cluster0
75,1.671286,0.058863,-1.316049,1.594248,0.93145,0.748322,0.755079,-0.392404,-0.639192,0.493774,0.006859,1,cluster1
76,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
77,1.2973,0.375478,2.852808,-0.781806,-1.274038,0.689607,0.355298,-0.272619,-0.329324,-0.13117,-0.106513,1,cluster0
78,0.645795,0.747223,-1.100407,1.729526,-0.150348,0.771177,0.17492,0.275483,-0.084394,-0.252548,0.037826,1,cluster1
79,-1.726785,-1.651575,2.247611,-1.666227,1.423271,0.940788,-0.115902,-0.926874,0.697648,0.443103,0.150538,0,cluster0
80,0.839559,-1.481441,-0.423257,1.204463,-0.277325,-1.795246,-0.360935,-0.711016,0.105698,0.011295,0.0741,0,cluster1
81,-3.933513,1.710061,-0.843289,0.389683,0.726203,1.962233,0.001196,-0.504122,0.209291,0.340356,-0.112781,1,cluster1
82,1.204375,-1.014256,0.125737,0.928592,-2.198881,-0.154639,-0.496497,-0.761188,-0.62128,0.133198,-0.144328,1,cluster1
83,1.690716,0.56467,2.762443,-0.57769,-1.155373,0.328532,-0.040243,0.125984,0.356908,-0.290251,-0.02549,0,cluster0
84,0.956793,1.27698,2.952401,0.97423,-1.382305,-0.73513,-1.897541,-0.253103,-0.510096,0.251132,0.523976,0,cluster1
85,2.064702,0.248056,-1.406413,1.798364,1.050114,0.387247,0.359538,0.006199,0.047039,0.334693,0.087882,0,cluster1
86,-3.540097,1.899253,-0.933653,0.593799,0.844868,1.601158,-0.394344,-0.105519,0.895523,0.181275,-0.031758,0,cluster1
87,2.293157,0.103288,0.518855,-0.726473,-0.89177,0.402297,-0.670528,0.153296,-0.013006,-0.389826,-0.155896,0,cluster0
88,-0.949635,-2.62822,0.268917,-1.343946,1.288806,-0.833061,0.274277,1.92763,-0.972109,0.244151,-0.289498,1,cluster0
89,-1.251584,-3.367379,-0.304931,0.719351,0.219025,-2.112147,-0.342773,1.810352,-0.207921,0.449012,-0.115882,1,cluster1
90,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
91,-0.730927,-1.923765,-0.086342,-1.610894,1.805539,0.653478,-1.141727,-0.500959,1.013966,0.184447,0.101155,0,cluster0
92,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
93,0.539067,-0.2809,2.394179,-0.710051,0.528853,-0.589925,0.8864,-0.621051,-0.288577,-0.093992,0.030891,1,cluster0
94,-0.818506,3.114844,-0.581699,-1.183113,-0.646768,-0.643155,0.578659,0.243348,0.106083,-0.497022,-0.213108,0,cluster0
95,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
96,-0.366111,-1.45658,0.462652,-1.886765,-0.116016,2.294085,-1.277289,-0.55113,0.286988,0.306351,-0.117273,0,cluster0
97,-0.556219,-2.439028,0.178553,-1.13983,1.407471,-1.194136,-0.121263,2.326233,-0.285878,0.08507,-0.208474,1,cluster0
98,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,1,cluster0
99,-2.42215,-2.579926,1.764127,0.192954,0.234825,0.022777,-0.337412,-1.442755,0.775605,0.807046,0.24313,1,cluster1
100,-1.234272,1.935507,0.258526,1.694701,1.490471,-0.503293,0.718451,-0.71196,-0.861584,-0.155638,-0.227043,1,cluster1
101,-1.78335,-1.606046,-1.915508,1.627294,-0.728313,-0.046331,-1.367593,-1.200717,1.190031,-3.108559,-2.258519,0,cluster1
102,-3.540097,1.899253,-0.933653,0.593799,0.844868,1.601158,-0.394344,-0.105519,0.895523,0.181275,-0.031758,1,cluster1
103,1.431659,-1.024572,-1.594145,0.720342,-0.854214,-0.883289,0.504271,-0.865241,-0.36445,0.716516,0.037747,1,cluster1
104,1.431659,-1.024572,-1.594145,0.720342,-0.854214,-0.883289,0.504271,-0.865241,-0.36445,0.716516,0.037747,0,cluster1
105,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
106,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
107,-1.586833,-2.495543,-1.986208,-0.147026,-1.680763,-0.807211,-0.371454,-1.896222,-4.592915,-1.568054,2.598446,0,cluster1
108,1.671286,0.058863,-1.316049,1.594248,0.93145,0.748322,0.755079,-0.392404,-0.639192,0.493774,0.006859,1,cluster1
109,-2.088006,-1.573479,-0.11423,1.275901,1.907527,-0.35344,0.415223,1.888267,-1.238314,0.346146,-0.349483,1,cluster1
110,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
111,2.127025,-0.096221,-1.110662,-1.138839,0.334232,0.034722,0.725781,-0.34936,-0.442407,0.352573,-0.054845,1,cluster0
112,-1.62956,-2.500289,-2.28397,0.957504,-2.395311,-2.039017,-2.013942,-1.274951,2.151005,-3.044898,-2.146607,0,cluster1
113,2.293157,0.103288,0.518855,-0.726473,-0.89177,0.402297,-0.670528,0.153296,-0.013006,-0.389826,-0.155896,0,cluster0
114,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
115,2.293157,0.103288,0.518855,-0.726473,-0.89177,0.402297,-0.670528,0.153296,-0.013006,-0.389826,-0.155896,0,cluster0
116,-2.909649,1.228906,-0.463372,-1.668224,-0.150418,-0.960056,0.596821,2.764717,-0.207536,-0.059304,-0.40309,0,cluster0
117,2.127025,-0.096221,-1.110662,-1.138839,0.334232,0.034722,0.725781,-0.34936,-0.442407,0.352573,-0.054845,1,cluster0
118,-1.011958,-2.283943,-0.026834,1.593257,2.004688,-0.480536,-0.091965,2.28319,-0.482663,0.226271,-0.146771,0,cluster1
119,-2.869676,-0.105515,0.582239,-1.523498,1.389603,-1.533794,0.707314,1.852452,-0.978418,0.140878,-0.478728,1,cluster0
120,-1.251584,-3.367379,-0.304931,0.719351,0.219025,-2.112147,-0.342773,1.810352,-0.207921,0.449012,-0.115882,1,cluster1
121,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
122,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
123,2.064702,0.248056,-1.406413,1.798364,1.050114,0.387247,0.359538,0.006199,0.047039,0.334693,0.087882,0,cluster1
124,-0.730927,-1.923765,-0.086342,-1.610894,1.805539,0.653478,-1.141727,-0.500959,1.013966,0.184447,0.101155,0,cluster0
125,2.064702,0.248056,-1.406413,1.798364,1.050114,0.387247,0.359538,0.006199,0.047039,0.334693,0.087882,0,cluster1
126,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
127,-2.182524,-1.49649,2.042224,1.06686,2.020489,1.654388,-0.086604,-0.969918,0.500863,0.584305,0.212241,1,cluster1
128,-0.191402,-1.971843,0.727547,-1.4157,-0.514085,0.446471,-0.256825,2.276061,-1.012856,0.206973,-0.426902,0,cluster0
129,-3.477774,1.554976,-0.637902,-2.343404,0.128986,1.248633,-0.028102,-0.461079,0.406077,0.199155,-0.174485,1,cluster0
130,-0.66806,-2.195738,-0.111196,0.176533,-1.185798,1.014999,-1.894339,-0.668408,1.051177,0.511213,0.056342,1,cluster1
131,0.839559,-1.481441,-0.423257,1.204463,-0.277325,-1.795246,-0.360935,-0.711016,0.105698,0.011295,0.0741,0,cluster1
132,-0.949635,-2.62822,0.268917,-1.343946,1.288806,-0.833061,0.274277,1.92763,-0.972109,0.244151,-0.289498,1,cluster0
133,-3.540097,1.899253,-0.933653,0.593799,0.844868,1.601158,-0.394344,-0.105519,0.895523,0.181275,-0.031758,1,cluster1
134,2.064702,0.248056,-1.406413,1.798364,1.050114,0.387247,0.359538,0.006199,0.047039,0.334693,0.087882,0,cluster1
135,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
136,0.25459,-1.277703,-1.347595,-1.890899,1.347315,1.204361,-0.672062,-0.256581,1.230049,0.730587,0.145826,0,cluster0
137,0.956793,1.27698,2.952401,0.97423,-1.382305,-0.73513,-1.897541,-0.253103,-0.510096,0.251132,0.523976,1,cluster1
138,0.563377,1.087788,3.042766,0.770114,-1.50097,-0.374055,-1.502,-0.651706,-1.196328,0.410213,0.442953,1,cluster1
139,-3.076174,0.29514,-0.400633,0.973988,0.30663,0.348597,0.910013,2.319389,-1.021133,0.280185,-0.300721,1,cluster1
140,-0.366111,-1.45658,0.462652,-1.886765,-0.116016,2.294085,-1.277289,-0.55113,0.286988,0.306351,-0.117273,0,cluster0
141,-1.274246,3.269928,-0.787085,1.549974,-0.049551,0.070445,0.607958,0.200305,-0.090702,-0.35582,-0.151404,0,cluster1
142,1.431659,-1.024572,-1.594145,0.720342,-0.854214,-0.883289,0.504271,-0.865241,-0.36445,0.716516,0.037747,1,cluster1
143,-0.138826,-1.466896,-1.25723,-2.095015,1.22865,1.565436,-0.276521,-0.655184,0.543818,0.889668,0.064802,1,cluster0
144,-1.667662,3.080736,-0.696721,1.345858,-0.168215,0.431519,1.003498,-0.198299,-0.776934,-0.196739,-0.232428,1,cluster1
145,-1.552429,3.827154,-0.39174,0.368807,-0.8737,-1.706817,-1.278639,-0.135738,-0.760921,0.044361,0.336358,0,cluster1
146,2.127025,-0.096221,-1.110662,-1.138839,0.334232,0.034722,0.725781,-0.34936,-0.442407,0.352573,-0.054845,1,cluster0
147,-1.119039,2.681926,0.563506,0.717649,0.784986,-2.641629,-1.563686,-0.6494,-0.845572,0.085462,0.341743,0,cluster1
148,-1.350691,-1.296081,-0.288958,0.063292,-1.164294,0.781021,-1.782692,-0.664727,0.981758,0.472006,-0.065347,1,cluster1
149,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
150,-3.933513,1.710061,-0.843289,0.389683,0.726203,1.962233,0.001196,-0.504122,0.209291,0.340356,-0.112781,1,cluster1
151,-2.29703,-0.922904,2.038993,1.6288,1.762589,-0.78828,0.649967,2.259558,-0.182169,0.28664,-0.138053,0,cluster1
152,-0.66806,-2.195738,-0.111196,0.176533,-1.185798,1.014999,-1.894339,-0.668408,1.051177,0.511213,0.056342,1,cluster1
153,-3.084358,1.744169,-0.728267,-2.139288,0.24765,0.887558,-0.423643,-0.062475,1.092308,0.040074,-0.093461,1,cluster0
154,2.064702,0.248056,-1.406413,1.798364,1.050114,0.387247,0.359538,0.006199,0.047039,0.334693,0.087882,0,cluster1
155,1.597791,-0.825063,0.035372,1.132708,-2.080216,-0.515714,-0.892037,-0.362585,0.064952,-0.025883,-0.063305,0,cluster1
156,1.234977,0.719754,2.557057,2.155398,-0.558156,1.042132,-0.010945,0.082941,0.160123,-0.14905,0.036214,0,cluster1
157,-3.81828,2.456479,-0.538308,-0.587369,0.020718,-0.176104,-2.280941,-0.441562,0.225304,0.581456,0.456005,0,cluster1
158,1.899741,-0.085905,0.60922,-0.930589,-1.010435,0.763372,-0.274987,-0.245307,-0.699237,-0.230745,-0.23692,1,cluster0
159,-2.857466,0.999596,-0.755892,0.707039,0.823364,1.835136,-0.505992,-0.1092,0.964942,0.220481,0.089931,0,cluster1
160,1.837418,0.258372,0.313469,2.006614,-0.294553,1.115897,-0.641229,0.110253,-0.209791,-0.248624,-0.094193,0,cluster1
161,2.127025,-0.096221,-1.110662,-1.138839,0.334232,0.034722,0.725781,-0.34936,-0.442407,0.352573,-0.054845,0,cluster0
162,-0.366111,-1.45658,0.462652,-1.886765,-0.116016,2.294085,-1.277289,-0.55113,0.286988,0.306351,-0.117273,1,cluster0
163,-0.266067,-2.721318,-1.566183,0.439347,-0.239199,-1.561265,0.126892,2.05473,0.008163,0.995152,-0.071211,0,cluster1
164,1.690716,0.56467,2.762443,-0.57769,-1.155373,0.328532,-0.040243,0.125984,0.356908,-0.290251,-0.02549,0,cluster0
165,-0.949635,-2.62822,0.268917,-1.343946,1.288806,-0.833061,0.274277,1.92763,-0.972109,0.244151,-0.289498,0,cluster0
166,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
167,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
168,1.079185,-0.398005,-0.14516,2.078368,1.508338,-0.163635,-0.110127,-0.238179,-0.169045,-0.211447,0.043211,0,cluster1
169,0.25459,-1.277703,-1.347595,-1.890899,1.347315,1.204361,-0.672062,-0.256581,1.230049,0.730587,0.145826,0,cluster0
170,-4.211697,2.267287,-0.447944,-0.791485,-0.097946,0.184971,-1.8854,-0.840165,-0.460928,0.740538,0.374981,1,cluster1
171,2.064702,0.248056,-1.406413,1.798364,1.050114,0.387247,0.359538,0.006199,0.047039,0.334693,0.087882,0,cluster1
172,2.520442,0.092972,-1.201027,-0.934723,0.452897,-0.326352,0.33024,0.049243,0.243824,0.193492,0.026179,0,cluster0
173,1.786519,0.805282,-1.011068,0.617197,0.225965,-1.390014,-1.527058,-0.329844,-0.62318,0.734874,0.575645,0,cluster1
174,-0.949635,-2.62822,0.268917,-1.343946,1.288806,-0.833061,0.274277,1.92763,-0.972109,0.244151,-0.289498,1,cluster0
175,-0.840856,2.1247,0.168161,1.898817,1.609136,-0.864367,0.32291,-0.313357,-0.175353,-0.314719,-0.146019,0,cluster1
176,-1.211923,2.925651,-0.491334,-1.387229,-0.765433,-0.28208,0.9742,-0.155255,-0.580149,-0.337941,-0.294131,1,cluster0
177,2.293157,0.103288,0.518855,-0.726473,-0.89177,0.402297,-0.670528,0.153296,-0.013006,-0.389826,-0.155896,0,cluster0
178,-3.588158,1.663077,-1.297207,0.47069,-1.333,-2.8854,-3.216693,-1.213335,1.199736,-2.970731,-1.878963,0,cluster1
