@relation RandomTit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute ﻿Survived {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
21,5.196152,0,0,1.732051,1.732051,-1.732051,1.732051,1.732051,0,1.732051,1,cluster2
22,1.732051,0,0,1.732051,-1.732051,0,0,-3.464102,0,1.732051,1,cluster0
23,3.464102,1.732051,1.732051,0,-1.732051,0,-1.732051,0,0,0,1,cluster5
24,0,1.732051,0,1.732051,-3.464102,0,-5.196152,-5.196152,0,-1.732051,0,cluster1
25,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
26,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
27,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
28,-1.732051,1.732051,0,3.464102,-1.732051,0,-3.464102,-3.464102,1.732051,-3.464102,0,cluster1
29,5.196152,0,1.732051,1.732051,0,-1.732051,1.732051,1.732051,0,1.732051,1,cluster2
30,0,1.732051,0,3.464102,0,-1.732051,-3.464102,-1.732051,0,-3.464102,1,cluster4
31,1.732051,0,1.732051,1.732051,-3.464102,0,-1.732051,-5.196152,0,0,0,cluster0
32,0,1.732051,0,3.464102,-1.732051,0,-5.196152,-5.196152,0,-1.732051,0,cluster1
33,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,1,cluster1
34,1.732051,0,1.732051,3.464102,-1.732051,0,0,-3.464102,0,0,0,cluster0
35,3.464102,0,3.464102,0,-1.732051,0,-1.732051,0,0,0,1,cluster5
36,1.732051,-1.732051,0,-3.464102,-1.732051,-1.732051,-3.464102,-1.732051,1.732051,3.464102,0,cluster3
37,5.196152,0,5.196152,0,-1.732051,0,0,-1.732051,0,1.732051,0,cluster5
38,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
39,0,1.732051,1.732051,1.732051,-1.732051,-1.732051,-6.928203,-5.196152,0,-3.464102,0,cluster1
40,0,1.732051,3.464102,1.732051,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
41,3.464102,1.732051,3.464102,1.732051,-1.732051,0,-3.464102,-1.732051,0,-1.732051,0,cluster5
42,3.464102,0,0,1.732051,1.732051,-1.732051,-1.732051,1.732051,0,0,1,cluster2
43,0,1.732051,0,3.464102,-1.732051,0,-5.196152,-5.196152,0,-1.732051,0,cluster1
44,3.464102,0,1.732051,0,-1.732051,-1.732051,-1.732051,0,0,0,1,cluster2
45,1.732051,1.732051,3.464102,0,-1.732051,-1.732051,-3.464102,-1.732051,0,0,0,cluster6
46,0,1.732051,1.732051,3.464102,0,0,-3.464102,-3.464102,0,-3.464102,1,cluster1
47,5.196152,0,1.732051,1.732051,-1.732051,-1.732051,0,0,0,1.732051,1,cluster2
48,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
49,1.732051,1.732051,1.732051,0,-1.732051,-3.464102,-5.196152,-1.732051,0,0,0,cluster6
50,3.464102,1.732051,1.732051,1.732051,0,-1.732051,-1.732051,1.732051,0,-1.732051,1,cluster2
51,1.732051,0,3.464102,-1.732051,-1.732051,0,-3.464102,-1.732051,1.732051,0,0,cluster3
52,3.464102,1.732051,1.732051,1.732051,-1.732051,-1.732051,-3.464102,0,0,-1.732051,0,cluster6
53,5.196152,0,1.732051,1.732051,0,-1.732051,1.732051,1.732051,0,1.732051,1,cluster2
54,1.732051,0,0,5.196152,-1.732051,0,0,-3.464102,0,0,0,cluster0
55,3.464102,0,3.464102,0,0,0,-1.732051,0,0,0,1,cluster5
56,1.732051,0,1.732051,1.732051,-3.464102,0,-1.732051,-5.196152,0,0,1,cluster0
57,0,0,0,0,-3.464102,0,-3.464102,-5.196152,0,0,0,cluster0
58,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,1,cluster1
59,0,0,0,1.732051,-1.732051,-1.732051,-3.464102,-3.464102,0,-1.732051,0,cluster0
60,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
61,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
62,0,-1.732051,0,-3.464102,-1.732051,-1.732051,-1.732051,0,3.464102,1.732051,1,cluster6
63,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
64,0,0,0,1.732051,-3.464102,0,-5.196152,-5.196152,0,0,0,cluster0
65,0,0,0,0,-1.732051,0,-1.732051,-3.464102,0,0,1,cluster0
66,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
67,0,1.732051,0,1.732051,-1.732051,0,-3.464102,-3.464102,0,-1.732051,1,cluster1
68,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,1,cluster1
69,1.732051,0,1.732051,1.732051,-3.464102,0,-1.732051,-5.196152,0,0,0,cluster0
70,3.464102,0,3.464102,0,1.732051,0,-1.732051,0,0,0,1,cluster5
71,3.464102,0,1.732051,1.732051,0,-1.732051,-1.732051,1.732051,0,0,1,cluster2
72,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,1,cluster1
73,3.464102,1.732051,3.464102,0,-1.732051,0,-3.464102,-1.732051,0,0,0,cluster5
74,0,1.732051,1.732051,3.464102,0,0,-3.464102,-3.464102,0,-3.464102,0,cluster1
75,1.732051,0,1.732051,3.464102,0,0,0,-3.464102,0,0,1,cluster0
76,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
77,0,1.732051,0,1.732051,-1.732051,0,-3.464102,-3.464102,0,-1.732051,1,cluster1
78,1.732051,0,1.732051,1.732051,-1.732051,-1.732051,-3.464102,-5.196152,0,0,1,cluster0
79,3.464102,1.732051,3.464102,0,0,0,-1.732051,0,0,0,0,cluster5
80,0,0,3.464102,1.732051,-1.732051,0,-5.196152,-5.196152,0,-1.732051,0,cluster0
81,5.196152,0,1.732051,1.732051,0,-1.732051,1.732051,1.732051,0,1.732051,1,cluster2
82,0,0,1.732051,1.732051,-1.732051,0,-3.464102,-3.464102,0,-1.732051,1,cluster0
83,0,1.732051,0,1.732051,-3.464102,0,-5.196152,-5.196152,0,-1.732051,0,cluster1
84,0,0,0,0,-3.464102,0,-3.464102,-5.196152,0,0,0,cluster0
85,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
86,5.196152,0,1.732051,1.732051,-1.732051,-1.732051,0,0,0,1.732051,0,cluster2
87,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
88,1.732051,0,3.464102,-1.732051,0,0,-1.732051,0,1.732051,0,1,cluster3
89,1.732051,-1.732051,3.464102,-1.732051,-1.732051,0,-3.464102,-1.732051,1.732051,1.732051,1,cluster3
90,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
91,3.464102,1.732051,5.196152,0,-1.732051,0,-3.464102,-1.732051,0,-1.732051,0,cluster5
92,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
93,0,1.732051,1.732051,1.732051,0,0,-3.464102,-3.464102,0,-1.732051,1,cluster1
94,0,1.732051,0,3.464102,-1.732051,-1.732051,-5.196152,-3.464102,0,-3.464102,0,cluster1
95,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
96,3.464102,1.732051,3.464102,0,-1.732051,0,-1.732051,0,0,-1.732051,0,cluster5
97,1.732051,0,3.464102,-1.732051,-1.732051,0,-3.464102,-1.732051,1.732051,0,1,cluster3
98,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,1,cluster1
99,3.464102,0,3.464102,0,0,0,-1.732051,0,0,1.732051,1,cluster5
100,1.732051,0,1.732051,3.464102,0,0,1.732051,-1.732051,0,0,1,cluster0
101,3.464102,1.732051,1.732051,0,0,-3.464102,0,0,0,1.732051,0,cluster2
102,5.196152,0,1.732051,1.732051,-1.732051,-1.732051,0,0,0,1.732051,1,cluster2
103,0,0,1.732051,3.464102,0,0,-3.464102,-3.464102,0,-1.732051,1,cluster0
104,0,0,1.732051,3.464102,0,0,-3.464102,-3.464102,0,-1.732051,0,cluster0
105,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
106,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
107,1.732051,0,0,1.732051,-1.732051,-1.732051,-5.196152,-3.464102,0,0,0,cluster0
108,1.732051,0,1.732051,3.464102,0,0,0,-3.464102,0,0,1,cluster0
109,5.196152,-1.732051,3.464102,0,0,0,1.732051,0,0,3.464102,1,cluster5
110,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
111,0,1.732051,1.732051,3.464102,0,0,-3.464102,-3.464102,0,-3.464102,1,cluster1
112,1.732051,1.732051,1.732051,0,-1.732051,-3.464102,-5.196152,-1.732051,0,0,0,cluster6
113,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
114,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
115,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
116,1.732051,0,0,0,-1.732051,-1.732051,-3.464102,0,1.732051,0,0,cluster6
117,0,1.732051,1.732051,3.464102,0,0,-3.464102,-3.464102,0,-3.464102,1,cluster1
118,3.464102,-1.732051,3.464102,-1.732051,-1.732051,0,0,-1.732051,1.732051,3.464102,0,cluster3
119,1.732051,0,1.732051,0,0,0,0,1.732051,1.732051,0,1,cluster2
120,1.732051,-1.732051,3.464102,-1.732051,-1.732051,0,-3.464102,-1.732051,1.732051,1.732051,1,cluster3
121,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
122,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
123,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
124,3.464102,1.732051,5.196152,0,-1.732051,0,-3.464102,-1.732051,0,-1.732051,0,cluster5
125,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
126,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
127,5.196152,0,3.464102,0,0,0,1.732051,0,0,3.464102,1,cluster5
128,1.732051,0,1.732051,-1.732051,-1.732051,0,-1.732051,0,1.732051,0,0,cluster3
129,3.464102,1.732051,1.732051,1.732051,0,-1.732051,-1.732051,1.732051,0,-1.732051,1,cluster2
130,3.464102,0,3.464102,0,-3.464102,0,-3.464102,-1.732051,0,0,1,cluster0
131,0,0,3.464102,1.732051,-1.732051,0,-5.196152,-5.196152,0,-1.732051,0,cluster0
132,1.732051,0,3.464102,-1.732051,0,0,-1.732051,0,1.732051,0,1,cluster3
133,5.196152,0,1.732051,1.732051,-1.732051,-1.732051,0,0,0,1.732051,1,cluster2
134,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
135,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
136,3.464102,1.732051,3.464102,1.732051,-1.732051,0,-3.464102,-1.732051,0,-1.732051,0,cluster5
137,0,0,0,0,-3.464102,0,-3.464102,-5.196152,0,0,1,cluster0
138,0,0,0,0,-1.732051,0,-1.732051,-3.464102,0,0,1,cluster0
139,1.732051,-1.732051,0,-1.732051,0,-1.732051,1.732051,1.732051,3.464102,3.464102,1,cluster2
140,3.464102,1.732051,3.464102,0,-1.732051,0,-1.732051,0,0,-1.732051,0,cluster5
141,1.732051,0,0,3.464102,-1.732051,-1.732051,-1.732051,-3.464102,0,0,0,cluster0
142,0,0,1.732051,3.464102,0,0,-3.464102,-3.464102,0,-1.732051,1,cluster0
143,3.464102,1.732051,3.464102,1.732051,0,0,-1.732051,0,0,-1.732051,1,cluster5
144,1.732051,0,0,3.464102,0,-1.732051,0,-1.732051,0,0,1,cluster0
145,0,0,0,1.732051,-1.732051,-1.732051,-3.464102,-3.464102,0,-1.732051,0,cluster0
146,0,1.732051,1.732051,3.464102,0,0,-3.464102,-3.464102,0,-3.464102,1,cluster1
147,0,0,1.732051,1.732051,-1.732051,0,-1.732051,-3.464102,0,-1.732051,0,cluster0
148,5.196152,0,3.464102,1.732051,-3.464102,0,-3.464102,-1.732051,-1.732051,0,1,cluster0
149,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
150,5.196152,0,1.732051,1.732051,0,-1.732051,1.732051,1.732051,0,1.732051,1,cluster2
151,5.196152,-1.732051,1.732051,0,-1.732051,0,0,-1.732051,0,5.196152,0,cluster5
152,3.464102,0,3.464102,0,-3.464102,0,-3.464102,-1.732051,0,0,1,cluster0
153,3.464102,1.732051,1.732051,1.732051,-1.732051,-1.732051,-3.464102,0,0,-1.732051,1,cluster6
154,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
155,0,0,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-1.732051,0,cluster0
156,1.732051,0,0,1.732051,-3.464102,0,-1.732051,-5.196152,0,1.732051,0,cluster0
157,3.464102,0,1.732051,0,-1.732051,-1.732051,-1.732051,0,0,0,0,cluster2
158,0,1.732051,1.732051,1.732051,-1.732051,0,-3.464102,-3.464102,0,-3.464102,1,cluster1
159,3.464102,0,1.732051,0,-1.732051,-1.732051,0,0,1.732051,1.732051,0,cluster2
160,1.732051,0,1.732051,1.732051,-3.464102,0,-1.732051,-5.196152,0,0,0,cluster0
161,0,1.732051,1.732051,3.464102,0,0,-3.464102,-3.464102,0,-3.464102,0,cluster1
162,3.464102,1.732051,3.464102,0,-1.732051,0,-1.732051,0,0,-1.732051,1,cluster5
163,1.732051,-1.732051,1.732051,0,-1.732051,0,-3.464102,-1.732051,1.732051,1.732051,0,cluster3
164,0,1.732051,0,1.732051,-3.464102,0,-5.196152,-5.196152,0,-1.732051,0,cluster1
165,1.732051,0,3.464102,-1.732051,0,0,-1.732051,0,1.732051,0,0,cluster3
166,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
167,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
168,1.732051,0,3.464102,1.732051,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
169,3.464102,1.732051,3.464102,1.732051,-1.732051,0,-3.464102,-1.732051,0,-1.732051,0,cluster5
170,3.464102,0,1.732051,0,0,-1.732051,0,1.732051,0,0,1,cluster2
171,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
172,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
173,0,0,1.732051,1.732051,-1.732051,0,-3.464102,-5.196152,0,-1.732051,0,cluster0
174,1.732051,0,3.464102,-1.732051,0,0,-1.732051,0,1.732051,0,1,cluster3
175,1.732051,0,1.732051,3.464102,-1.732051,0,0,-3.464102,0,0,0,cluster0
176,0,1.732051,0,3.464102,0,-1.732051,-3.464102,-1.732051,0,-3.464102,1,cluster4
177,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
178,1.732051,1.732051,0,0,-1.732051,-3.464102,-1.732051,0,0,0,0,cluster6
179,5.196152,0,3.464102,0,0,0,1.732051,0,0,3.464102,1,cluster5
180,5.196152,0,3.464102,0,-1.732051,0,0,-1.732051,0,3.464102,0,cluster5
181,1.732051,0,1.732051,-1.732051,0,0,-1.732051,0,1.732051,1.732051,1,cluster3
182,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
183,0,1.732051,0,3.464102,0,-1.732051,-3.464102,-1.732051,0,-3.464102,1,cluster4
184,3.464102,0,1.732051,1.732051,-1.732051,0,0,-3.464102,0,1.732051,0,cluster0
185,0,1.732051,3.464102,1.732051,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
186,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
187,1.732051,0,3.464102,1.732051,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
188,0,0,0,0,-3.464102,0,-3.464102,-5.196152,0,0,0,cluster0
189,0,0,1.732051,3.464102,0,0,-3.464102,-3.464102,0,-1.732051,1,cluster0
190,0,1.732051,0,1.732051,-3.464102,0,-5.196152,-5.196152,0,-1.732051,0,cluster1
191,0,0,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-1.732051,0,cluster0
192,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
193,1.732051,0,1.732051,1.732051,-3.464102,0,-1.732051,-5.196152,0,0,1,cluster0
194,3.464102,1.732051,3.464102,1.732051,-1.732051,0,-3.464102,-1.732051,0,-1.732051,0,cluster5
195,1.732051,0,0,3.464102,-1.732051,0,-1.732051,-5.196152,0,1.732051,0,cluster0
196,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
197,5.196152,0,1.732051,1.732051,-1.732051,-1.732051,0,0,0,1.732051,1,cluster2
198,0,1.732051,0,3.464102,0,-1.732051,-3.464102,-1.732051,0,-3.464102,1,cluster4
199,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
200,1.732051,0,1.732051,1.732051,-3.464102,0,-1.732051,-5.196152,0,0,0,cluster0
201,0,0,0,1.732051,0,-1.732051,0,-1.732051,1.732051,0,1,cluster0
202,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,1,cluster1
203,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
204,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,1,cluster1
205,1.732051,0,0,1.732051,-3.464102,0,-1.732051,-5.196152,0,1.732051,0,cluster0
206,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
207,1.732051,1.732051,0,3.464102,-1.732051,0,-3.464102,-3.464102,-1.732051,-1.732051,1,cluster1
208,1.732051,0,1.732051,3.464102,0,0,0,-3.464102,0,0,0,cluster0
209,1.732051,3.464102,0,1.732051,0,-3.464102,-1.732051,1.732051,0,-1.732051,1,cluster6
210,0,0,1.732051,1.732051,-1.732051,0,-1.732051,-3.464102,0,-1.732051,1,cluster0
211,1.732051,1.732051,0,-1.732051,0,-1.732051,-5.196152,-1.732051,1.732051,-1.732051,0,cluster6
212,5.196152,0,5.196152,0,0,0,1.732051,0,0,1.732051,0,cluster5
213,1.732051,1.732051,1.732051,-1.732051,0,-3.464102,-1.732051,0,-1.732051,-1.732051,0,cluster6
214,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
215,5.196152,0,1.732051,1.732051,0,-1.732051,1.732051,1.732051,0,1.732051,1,cluster2
216,3.464102,1.732051,5.196152,0,-1.732051,0,-3.464102,-1.732051,0,-1.732051,0,cluster5
217,3.464102,1.732051,5.196152,0,0,0,-1.732051,0,0,-1.732051,1,cluster5
218,3.464102,1.732051,3.464102,0,-3.464102,0,-3.464102,-1.732051,0,-1.732051,1,cluster5
219,1.732051,0,0,3.464102,0,-1.732051,0,-1.732051,0,0,1,cluster0
220,3.464102,-1.732051,1.732051,-1.732051,0,0,1.732051,0,1.732051,5.196152,1,cluster3
221,1.732051,-1.732051,1.732051,-1.732051,0,0,-1.732051,0,1.732051,3.464102,1,cluster3
222,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
223,3.464102,0,1.732051,1.732051,0,-1.732051,-1.732051,1.732051,0,0,1,cluster2
224,1.732051,0,0,-1.732051,-1.732051,-1.732051,-5.196152,-1.732051,1.732051,1.732051,0,cluster3
225,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
226,3.464102,0,3.464102,-1.732051,0,0,0,0,0,1.732051,1,cluster5
227,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,1,cluster1
228,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
229,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
230,3.464102,1.732051,3.464102,1.732051,-1.732051,0,-3.464102,-1.732051,0,-1.732051,1,cluster5
231,3.464102,1.732051,3.464102,0,0,0,-1.732051,0,0,0,1,cluster5
232,0,1.732051,0,1.732051,-3.464102,0,-5.196152,-5.196152,0,-1.732051,0,cluster1
233,3.464102,-1.732051,0,-1.732051,0,-1.732051,0,0,1.732051,5.196152,1,cluster3
234,1.732051,1.732051,0,-1.732051,0,-1.732051,-5.196152,-1.732051,1.732051,-1.732051,0,cluster6
235,0,1.732051,3.464102,1.732051,-1.732051,0,-5.196152,-5.196152,0,-3.464102,1,cluster1
236,0,0,1.732051,1.732051,-1.732051,0,-5.196152,-5.196152,0,0,0,cluster0
237,0,1.732051,0,1.732051,-1.732051,-1.732051,-6.928203,-5.196152,0,-1.732051,0,cluster1
238,0,1.732051,0,3.464102,0,-1.732051,-3.464102,-1.732051,0,-3.464102,1,cluster4
239,3.464102,1.732051,1.732051,0,-3.464102,0,-3.464102,-1.732051,0,0,0,cluster5
240,0,1.732051,0,1.732051,-3.464102,0,-5.196152,-5.196152,0,-1.732051,0,cluster1
241,3.464102,-1.732051,1.732051,-1.732051,0,0,1.732051,0,1.732051,5.196152,1,cluster3
242,0,1.732051,3.464102,1.732051,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
243,3.464102,1.732051,3.464102,1.732051,-1.732051,0,-3.464102,-1.732051,0,-1.732051,0,cluster5
244,1.732051,3.464102,0,1.732051,0,-3.464102,-1.732051,1.732051,0,-1.732051,1,cluster6
245,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
246,5.196152,0,5.196152,0,0,0,1.732051,0,0,1.732051,1,cluster5
247,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
248,0,1.732051,1.732051,3.464102,-1.732051,0,-3.464102,-3.464102,0,-3.464102,1,cluster1
249,0,1.732051,0,1.732051,-3.464102,0,-5.196152,-5.196152,0,-1.732051,0,cluster1
250,0,0,1.732051,1.732051,-1.732051,0,-3.464102,-5.196152,0,-1.732051,0,cluster0
251,3.464102,1.732051,3.464102,1.732051,-1.732051,0,-3.464102,-1.732051,0,-1.732051,0,cluster5
252,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
253,1.732051,1.732051,3.464102,0,0,-1.732051,-1.732051,0,0,0,0,cluster6
254,3.464102,1.732051,3.464102,0,1.732051,0,-1.732051,0,0,-1.732051,1,cluster5
255,1.732051,0,3.464102,-1.732051,0,0,-1.732051,0,1.732051,0,0,cluster3
256,0,1.732051,1.732051,1.732051,-1.732051,-1.732051,-6.928203,-5.196152,0,-3.464102,1,cluster1
257,3.464102,0,1.732051,0,0,-1.732051,0,1.732051,0,0,1,cluster2
258,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
259,3.464102,0,1.732051,-1.732051,-1.732051,-3.464102,0,-1.732051,-1.732051,1.732051,0,cluster6
260,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
261,5.196152,0,3.464102,0,-1.732051,0,0,-1.732051,0,3.464102,0,cluster5
262,3.464102,-1.732051,3.464102,-1.732051,0,0,1.732051,0,1.732051,3.464102,1,cluster3
263,1.732051,0,0,1.732051,-3.464102,0,-1.732051,-5.196152,0,1.732051,0,cluster0
264,0,1.732051,1.732051,1.732051,-1.732051,0,-3.464102,-3.464102,0,-3.464102,1,cluster1
