Source_0,Source_1,Source_2,Source_3,Source_4,Source_5,Source_6,Source_7,Source_8,Source_9,Source_10,Source_11,Source_12,Source_13,Source_14,Source_15,Source_16,Source_17,Source_18,Source_19,Source_20,Source_21,Source_22,Source_23,﻿Survived
-0.009766,0.021484,0.019531,-0.03125,0,0.032959,0.004883,0.025879,0.032471,-0.032715,0.018555,-0.011719,0.025879,-0.037109,0.011719,-0.004883,0.001953,-0.009766,0.005859,-0.013794,0.015625,0.023438,0.003906,0.050781,0
-0.013672,0.003906,0.017578,-0.03125,0.003906,0.003174,0.018555,-0.005371,0.0271,-0.015137,0.009766,-0.007813,-0.000488,-0.016602,0.009766,-0.024414,-0.023438,0.001953,-0.013184,0.024536,0.007813,0,0.001953,0.0625,0
-0.128906,-0.0625,-0.144531,-0.003906,0.095703,0.04541,0.003418,-0.033203,0.034668,0.091309,0.020508,-0.023438,-0.044434,-0.013672,-0.0625,-0.013672,0.013672,-0.052734,0.080078,0.021118,0.019531,0,0.09375,-0.039063,1
0.001953,-0.015625,0.007813,-0.03125,0.011719,0.001221,0.035645,-0.01123,0.014893,0.006348,0,-0.003906,0.004395,-0.010742,0.017578,-0.018555,-0.003906,-0.005859,-0.049316,0.026733,0.042969,0.019531,-0.017578,-0.011719,1
-0.029297,-0.021484,-0.052734,-0.055664,-0.021484,-0.024902,-0.047363,-0.056641,0.005859,0.003906,-0.004883,-0.011719,0.039551,0.023438,-0.035156,0.029297,-0.007813,0.001953,-0.011719,-0.097656,-0.070313,-0.003906,-0.015625,-0.03125,0
-0.007813,-0.03125,-0.001953,0.020508,-0.017578,0.016602,0.002441,0.008789,-0.067383,0.041504,0.008789,0.089844,0.030762,0.041016,0.015625,0.068359,-0.066406,0,0.092773,-0.046631,0.015625,0.121094,0.011719,0.046875,1
0.0625,-0.003906,0.009766,-0.012695,0.027344,0.040283,0.017578,0.005371,0.001221,0.014648,0.019531,0.019531,0.031738,-0.03125,0.03125,0,0.029297,-0.03125,-0.008789,0.002319,0.039063,0.007813,-0.005859,-0.023438,1
0.080078,-0.080078,-0.015625,-0.057617,0.039063,0.01123,0.003418,-0.005859,0.021484,0.047363,-0.024414,0.019531,0.006836,0.030273,0.011719,-0.005859,0.015625,0.013672,-0.022461,-0.010742,0.027344,-0.03125,-0.027344,-0.03125,1
0.001953,-0.015625,0.007813,-0.03125,0.011719,0.001221,0.035645,-0.01123,0.014893,0.006348,0,-0.003906,0.004395,-0.010742,0.017578,-0.018555,-0.003906,-0.005859,-0.049316,0.026733,0.042969,0.019531,-0.017578,-0.011719,0
-0.005859,0.009766,-0.003906,0.003906,0.003906,-0.008057,0.019043,0.00293,-0.00415,-0.026367,0.012695,-0.023438,-0.040527,0.03125,0.007813,-0.024414,-0.003906,-0.007813,-0.004883,0.02478,-0.015625,0.015625,-0.013672,0.019531,0
-0.005859,0.009766,-0.003906,0.003906,0.003906,-0.008057,0.019043,0.00293,-0.00415,-0.026367,0.012695,-0.023438,-0.040527,0.03125,0.007813,-0.024414,-0.003906,-0.007813,-0.004883,0.02478,-0.015625,0.015625,-0.013672,0.019531,0
-0.013672,0.003906,0.017578,-0.03125,0.003906,0.003174,0.018555,-0.005371,0.0271,-0.015137,0.009766,-0.007813,-0.000488,-0.016602,0.009766,-0.024414,-0.023438,0.001953,-0.013184,0.024536,0.007813,0,0.001953,0.0625,0
-0.001953,0.021484,-0.007813,0.030273,0,0.071045,0.023926,-0.063477,0.033936,0.04541,-0.001953,0.007813,-0.103027,0.100586,0.052734,0.025391,-0.029297,0.017578,-0.012695,0.002808,0.027344,-0.003906,0.007813,-0.03125,0
0.011719,0.001953,-0.025391,-0.000977,0.023438,0.020996,-0.058105,-0.003906,0.030273,0.045898,-0.013672,0.023438,0.01709,0.000977,-0.011719,0.007813,-0.005859,-0.003906,0.053711,-0.043701,-0.042969,0.015625,-0.042969,-0.023438,1
-0.017578,0.044922,-0.001953,0.042969,0.023438,-0.009521,-0.015625,-0.054688,-0.001221,0.04834,0.012695,0.027344,-0.013672,-0.020508,0,-0.023438,-0.042969,-0.027344,0.029297,0.045898,-0.046875,0.007813,-0.021484,0.011719,1
-0.009766,0.021484,0.019531,-0.03125,0,0.032959,0.004883,0.025879,0.032471,-0.032715,0.018555,-0.011719,0.025879,-0.037109,0.011719,-0.004883,0.001953,-0.009766,0.005859,-0.013794,0.015625,0.023438,0.003906,0.050781,0
0.009766,-0.009766,-0.013672,0.003906,0.011719,-0.009521,0.036133,-0.00293,-0.015869,-0.004395,0.003906,-0.019531,-0.035645,0.036133,0.015625,-0.018555,0.017578,-0.015625,-0.041016,0.026978,0.023438,0.03125,-0.033203,-0.054688,0
-0.005859,0.009766,-0.003906,0.003906,0.003906,-0.008057,0.019043,0.00293,-0.00415,-0.026367,0.012695,-0.023438,-0.040527,0.03125,0.007813,-0.024414,-0.003906,-0.007813,-0.004883,0.02478,-0.015625,0.015625,-0.013672,0.019531,1
-0.046875,0.070313,-0.013672,0.012695,-0.054688,0.02417,0.006348,0.005859,-0.003662,0.036133,-0.030273,-0.027344,0.040527,-0.00293,0.027344,0.054688,-0.013672,0.001953,0.047852,0.004517,0.023438,0.003906,-0.019531,-0.015625,0
0.095703,-0.052734,-0.003906,-0.069336,-0.009766,0.026855,-0.003418,-0.025391,0.041016,0.002441,-0.056641,0.027344,-0.03125,-0.02832,-0.007813,-0.005859,0.039063,0.048828,0.03418,-0.030762,-0.03125,-0.019531,0,0.007813,1
-0.033203,-0.013672,0.007813,0.006836,0.052734,-0.052246,-0.035645,-0.032227,-0.061035,-0.070313,0.041992,0.007813,0.022949,-0.017578,-0.046875,0.019531,0.017578,-0.027344,-0.100586,-0.083984,0.007813,-0.015625,0.011719,-0.023438,0
-0.007813,0.005859,0.019531,-0.038086,-0.015625,-0.01123,-0.027832,0.076172,0.015625,-0.001953,-0.03418,-0.019531,0.051758,0.014648,-0.015625,-0.001953,0.029297,0.019531,0.016602,-0.056152,-0.015625,-0.023438,0.003906,-0.007813,0
0,0.027344,-0.001953,0.003906,-0.001953,0.021729,0.005371,0.033691,0.001709,-0.043945,0.021484,-0.027344,-0.01416,0.010742,0.009766,-0.005859,0.023438,-0.019531,0.01416,-0.01355,-0.003906,0.035156,-0.011719,0.007813,0
-0.056641,0.041016,0.056641,0.017578,0.037109,-0.05542,-0.017578,0.008789,0.011475,-0.030762,0.03418,0.007813,-0.00293,-0.044922,-0.039063,-0.091797,-0.019531,-0.029297,-0.029785,0.022949,-0.070313,0.03125,0.011719,0.042969,0
-0.037109,0.046875,0.042969,0.006836,-0.015625,-0.041748,0.01416,0.024414,-0.015381,0.000488,-0.007813,-0.015625,0.022949,-0.006836,-0.001953,-0.03418,-0.007813,-0.003906,-0.008789,0.033813,-0.023438,-0.027344,0.025391,0.023438,0
0.017578,-0.048828,-0.029297,-0.040039,0.007813,-0.007324,-0.009277,0.023438,0.021484,-0.01123,-0.022461,-0.023438,-0.038086,0.072266,-0.007813,-0.011719,0.007813,0.027344,0.000977,-0.026855,-0.019531,0,-0.035156,0,0
0.019531,-0.039063,-0.001953,0.006836,-0.052734,0,0.026367,-0.047852,-0.06543,0.035156,-0.041992,0.101563,-0.030762,0.007813,0,0.054688,-0.050781,0.037109,0.094727,-0.025635,-0.011719,0.121094,0.023438,0.03125,1
0.009766,-0.009766,-0.013672,0.003906,0.011719,-0.009521,0.036133,-0.00293,-0.015869,-0.004395,0.003906,-0.019531,-0.035645,0.036133,0.015625,-0.018555,0.017578,-0.015625,-0.041016,0.026978,0.023438,0.03125,-0.033203,-0.054688,0
-0.029297,-0.021484,-0.052734,-0.055664,-0.021484,-0.024902,-0.047363,-0.056641,0.005859,0.003906,-0.004883,-0.011719,0.039551,0.023438,-0.035156,0.029297,-0.007813,0.001953,-0.011719,-0.097656,-0.070313,-0.003906,-0.015625,-0.03125,1
0.009766,-0.013672,-0.070313,0.05957,-0.097656,0.027832,0.039063,0.057617,0.078613,-0.037109,-0.009766,0.0625,0.000488,0.000977,-0.09375,-0.013672,-0.029297,-0.017578,-0.054688,0.010376,0,-0.082031,0.035156,-0.03125,0
0.048828,0.005859,-0.001953,0.022461,0.023438,0.001221,0.014648,-0.011719,-0.023193,-0.000977,0.023438,0,-0.041504,0.03125,0.019531,-0.025391,0.003906,-0.023438,0.016602,0.038696,-0.027344,-0.019531,-0.001953,0.015625,1
-0.042969,0.005859,-0.027344,-0.018555,0.001953,0.01123,-0.054199,0.011719,0.049805,0.02002,-0.023438,-0.003906,0.01709,0.000977,-0.023438,0.009766,-0.013672,0.009766,0.032227,-0.057861,-0.027344,0.046875,-0.054688,-0.015625,1
-0.005859,0.009766,-0.003906,0.003906,0.003906,-0.008057,0.019043,0.00293,-0.00415,-0.026367,0.012695,-0.023438,-0.040527,0.03125,0.007813,-0.024414,-0.003906,-0.007813,-0.004883,0.02478,-0.015625,0.015625,-0.013672,0.019531,0
-0.007813,-0.017578,-0.058594,0.071289,-0.046875,0.01416,0.006836,0.041992,0.10498,-0.068359,0.03125,0.085938,-0.025879,-0.036133,-0.128906,-0.072266,-0.041016,-0.042969,-0.074219,-0.000366,-0.046875,-0.027344,0.019531,-0.015625,0
0.005859,-0.013672,-0.027344,-0.000977,0.029297,-0.008301,-0.044434,-0.035156,0.025391,0.063477,-0.022461,0.027344,-0.01123,0.021484,-0.015625,-0.011719,-0.03125,0.005859,0.035156,-0.005615,-0.050781,-0.007813,-0.042969,-0.007813,1
-0.048828,0.021484,0.029297,0.032227,0.021484,-0.030762,-0.013672,0.026367,-0.037598,-0.027344,-0.018555,-0.007813,-0.005371,0.011719,-0.011719,0.03125,-0.023438,0.023438,-0.019531,0.002441,0.050781,-0.0625,0.003906,0.0625,0
-0.048828,-0.009766,-0.029297,-0.018555,0.007813,-0.018066,-0.040527,-0.019531,0.043945,0.037598,-0.032227,0,-0.01123,0.021484,-0.027344,-0.009766,-0.039063,0.021484,0.013672,-0.019531,-0.035156,0.027344,-0.054688,-0.007813,0
0.011719,0.001953,-0.025391,-0.000977,0.023438,0.020996,-0.058105,-0.003906,0.030273,0.045898,-0.013672,0.023438,0.01709,0.000977,-0.011719,0.007813,-0.005859,-0.003906,0.053711,-0.043701,-0.042969,0.015625,-0.042969,-0.023438,1
-0.015625,0.033203,-0.060547,0.010742,-0.035156,0.05835,0.01123,-0.015625,0.008057,0.009277,-0.009766,-0.035156,-0.022949,0.035156,0.037109,0.063477,-0.007813,-0.001953,0.051758,-0.004517,0.03125,0.046875,-0.058594,-0.023438,0
-0.013672,0.013672,-0.025391,0.030273,0.013672,-0.062988,-0.01709,0.02832,-0.088379,-0.020508,-0.024414,-0.019531,0.04541,-0.033203,-0.015625,0.048828,-0.021484,0,0.046875,0.047363,0.035156,-0.0625,-0.050781,0.078125,1
-0.009766,0.021484,0.019531,-0.03125,0,0.032959,0.004883,0.025879,0.032471,-0.032715,0.018555,-0.011719,0.025879,-0.037109,0.011719,-0.004883,0.001953,-0.009766,0.005859,-0.013794,0.015625,0.023438,0.003906,0.050781,1
0.021484,-0.027344,-0.017578,-0.066406,-0.015625,-0.005127,0.02832,-0.047852,-0.023193,-0.026855,0.02832,-0.015625,0.054199,-0.008789,0.009766,0.020508,0.027344,-0.025391,-0.073242,-0.051147,0.011719,-0.011719,0.025391,-0.035156,0
-0.013672,0.003906,0.017578,-0.03125,0.003906,0.003174,0.018555,-0.005371,0.0271,-0.015137,0.009766,-0.007813,-0.000488,-0.016602,0.009766,-0.024414,-0.023438,0.001953,-0.013184,0.024536,0.007813,0,0.001953,0.0625,1
-0.052734,0.037109,-0.027344,-0.011719,-0.027344,-0.025146,-0.018555,-0.077148,-0.020752,-0.01123,0.030273,-0.011719,0.037109,-0.018555,-0.019531,0.016602,-0.019531,-0.033203,-0.01709,-0.046143,-0.066406,0.011719,0.007813,-0.015625,0
-0.013672,0.003906,0.017578,-0.03125,0.003906,0.003174,0.018555,-0.005371,0.0271,-0.015137,0.009766,-0.007813,-0.000488,-0.016602,0.009766,-0.024414,-0.023438,0.001953,-0.013184,0.024536,0.007813,0,0.001953,0.0625,0
-0.013672,0.003906,0.017578,-0.03125,0.003906,0.003174,0.018555,-0.005371,0.0271,-0.015137,0.009766,-0.007813,-0.000488,-0.016602,0.009766,-0.024414,-0.023438,0.001953,-0.013184,0.024536,0.007813,0,0.001953,0.0625,0
-0.044922,0.017578,0.015625,0.032227,0.041016,0.028809,-0.047363,-0.092773,-0.01123,-0.020508,0.036133,0.035156,-0.043457,0.046875,-0.011719,0.064453,-0.027344,0.003906,-0.073242,-0.108398,0.011719,-0.046875,0.050781,0,1
0,0.027344,-0.001953,0.003906,-0.001953,0.021729,0.005371,0.033691,0.001709,-0.043945,0.021484,-0.027344,-0.01416,0.010742,0.009766,-0.005859,0.023438,-0.019531,0.01416,-0.01355,-0.003906,0.035156,-0.011719,0.007813,0
0.033203,-0.009766,0.009766,-0.044922,-0.027344,0.014404,0.04541,-0.037109,0.021729,-0.016602,-0.041016,0.003906,-0.027832,-0.064453,0.005859,-0.013672,0.039063,0.021484,-0.029785,0.009644,0.023438,0.046875,-0.005859,-0.042969,0
0.076172,-0.03125,-0.015625,-0.048828,0.003906,0.00415,0.024414,-0.0625,-0.042725,-0.000488,0.039063,0.011719,0.054199,-0.008789,0.021484,0.019531,0.035156,-0.039063,-0.051758,-0.037476,0,-0.042969,0.037109,-0.039063,1
-0.005859,0.009766,-0.003906,0.003906,0.003906,-0.008057,0.019043,0.00293,-0.00415,-0.026367,0.012695,-0.023438,-0.040527,0.03125,0.007813,-0.024414,-0.003906,-0.007813,-0.004883,0.02478,-0.015625,0.015625,-0.013672,0.019531,0
0.056641,-0.019531,0.009766,-0.012695,0.035156,0.010498,0.03125,-0.025879,-0.00415,0.032227,0.010742,0.019531,0.004395,-0.010742,0.029297,-0.018555,0.003906,-0.019531,-0.027832,0.040894,0.03125,-0.015625,-0.005859,-0.011719,1
-0.013672,0.003906,0.017578,-0.03125,0.003906,0.003174,0.018555,-0.005371,0.0271,-0.015137,0.009766,-0.007813,-0.000488,-0.016602,0.009766,-0.024414,-0.023438,0.001953,-0.013184,0.024536,0.007813,0,0.001953,0.0625,1
-0.009766,0.021484,0.019531,-0.03125,0,0.032959,0.004883,0.025879,0.032471,-0.032715,0.018555,-0.011719,0.025879,-0.037109,0.011719,-0.004883,0.001953,-0.009766,0.005859,-0.013794,0.015625,0.023438,0.003906,0.050781,0
0.054688,-0.042969,0.044922,-0.008789,-0.072266,-0.023438,0.052734,0.016602,-0.099609,0.013672,-0.051758,0.085938,0.006348,0.019531,0.007813,0.044922,-0.005859,0.046875,0.078125,-0.024658,0,0.058594,0.078125,0.039063,1
0.039063,-0.005859,-0.025391,-0.014648,-0.011719,0.004395,-0.033691,-0.060547,0.032227,0.039551,-0.064453,0.035156,-0.044434,-0.032227,-0.027344,-0.005859,0.009766,0.033203,0.055664,-0.022705,-0.070313,0.019531,-0.03125,-0.039063,1
-0.005859,0.009766,-0.003906,0.003906,0.003906,-0.008057,0.019043,0.00293,-0.00415,-0.026367,0.012695,-0.023438,-0.040527,0.03125,0.007813,-0.024414,-0.003906,-0.007813,-0.004883,0.02478,-0.015625,0.015625,-0.013672,0.019531,1
0.001953,-0.033203,0.007813,-0.038086,-0.001953,-0.043457,0.003418,0.039063,-0.001953,0.037109,-0.051758,-0.011719,0.030273,0.040039,-0.011719,-0.015625,0.023438,0.023438,-0.039063,-0.015625,0.011719,-0.023438,-0.015625,-0.070313,0
0.048828,0.005859,-0.001953,0.022461,0.023438,0.001221,0.014648,-0.011719,-0.023193,-0.000977,0.023438,0,-0.041504,0.03125,0.019531,-0.025391,0.003906,-0.023438,0.016602,0.038696,-0.027344,-0.019531,-0.001953,0.015625,0
0.056641,0.023438,0,0.022461,0.019531,0.031006,0.001465,0.019531,-0.017334,-0.018555,0.03125,0,-0.01416,0.010742,0.021484,-0.006836,0.03125,-0.033203,0.035645,0.000122,-0.019531,0.003906,-0.001953,0.003906,1
-0.005859,0.009766,-0.003906,0.003906,0.003906,-0.008057,0.019043,0.00293,-0.00415,-0.026367,0.012695,-0.023438,-0.040527,0.03125,0.007813,-0.024414,-0.003906,-0.007813,-0.004883,0.02478,-0.015625,0.015625,-0.013672,0.019531,0
0.056641,-0.019531,0.009766,-0.012695,0.035156,0.010498,0.03125,-0.025879,-0.00415,0.032227,0.010742,0.019531,0.004395,-0.010742,0.029297,-0.018555,0.003906,-0.019531,-0.027832,0.040894,0.03125,-0.015625,-0.005859,-0.011719,1
-0.048828,0.058594,0.058594,0.017578,0.03125,-0.025635,-0.03125,0.039551,0.016846,-0.04834,0.042969,0.003906,0.023438,-0.06543,-0.037109,-0.073242,0.005859,-0.041016,-0.010742,-0.015381,-0.058594,0.050781,0.013672,0.03125,1
0.056641,-0.037109,0.009766,-0.018555,0.019531,-0.033691,-0.001465,0.023438,-0.020508,0.062988,-0.041992,0.011719,0.030273,0.040039,0,-0.015625,0.029297,0.009766,-0.017578,-0.001465,-0.003906,-0.058594,-0.003906,-0.070313,0
-0.003906,0.052734,0.046875,-0.006836,-0.054688,-0.028564,0.024414,-0.001465,-0.008545,-0.023438,-0.048828,-0.007813,-0.010254,-0.05957,-0.013672,-0.029297,0.035156,0.023438,0.011719,0.016479,-0.042969,0,0.035156,-0.007813,0
0.011719,0.001953,-0.025391,-0.000977,0.023438,0.020996,-0.058105,-0.003906,0.030273,0.045898,-0.013672,0.023438,0.01709,0.000977,-0.011719,0.007813,-0.005859,-0.003906,0.053711,-0.043701,-0.042969,0.015625,-0.042969,-0.023438,1
0.072266,0.007813,0.021484,-0.025391,-0.015625,0.025635,0.024902,-0.045898,0.014893,-0.012695,-0.021484,0.027344,-0.033691,-0.070313,0.007813,-0.019531,0.027344,0.013672,0.028809,0.020874,-0.027344,-0.003906,0.023438,0.03125,1
0.001953,-0.015625,0.007813,-0.03125,0.011719,0.001221,0.035645,-0.01123,0.014893,0.006348,0,-0.003906,0.004395,-0.010742,0.017578,-0.018555,-0.003906,-0.005859,-0.049316,0.026733,0.042969,0.019531,-0.017578,-0.011719,0
0.021484,-0.027344,-0.017578,-0.066406,-0.015625,-0.005127,0.02832,-0.047852,-0.023193,-0.026855,0.02832,-0.015625,0.054199,-0.008789,0.009766,0.020508,0.027344,-0.025391,-0.073242,-0.051147,0.011719,-0.011719,0.025391,-0.035156,0
0,0.027344,-0.001953,0.003906,-0.001953,0.021729,0.005371,0.033691,0.001709,-0.043945,0.021484,-0.027344,-0.01416,0.010742,0.009766,-0.005859,0.023438,-0.019531,0.01416,-0.01355,-0.003906,0.035156,-0.011719,0.007813,0
-0.042969,0.005859,-0.027344,-0.018555,0.001953,0.01123,-0.054199,0.011719,0.049805,0.02002,-0.023438,-0.003906,0.01709,0.000977,-0.023438,0.009766,-0.013672,0.009766,0.032227,-0.057861,-0.027344,0.046875,-0.054688,-0.015625,0
-0.013672,0.003906,0.017578,-0.03125,0.003906,0.003174,0.018555,-0.005371,0.0271,-0.015137,0.009766,-0.007813,-0.000488,-0.016602,0.009766,-0.024414,-0.023438,0.001953,-0.013184,0.024536,0.007813,0,0.001953,0.0625,0
0.005859,0.017578,0.03125,0.049805,0.044922,-0.020996,-0.018066,0.012695,-0.057129,-0.001953,-0.006836,0.015625,-0.006348,0.011719,0,0.03125,-0.015625,0.007813,0.001953,0.016357,0.039063,-0.09375,0.015625,0.054688,1
-0.017578,0.029297,0.033203,0.018555,-0.017578,-0.01709,-0.003418,0.000977,-0.030762,-0.05127,-0.05957,0,-0.038574,-0.041016,-0.023438,0.037109,0.021484,0.050781,0.000977,-0.014893,0.03125,-0.03125,0.015625,0.03125,1
-0.005859,0.009766,-0.003906,0.003906,0.003906,-0.008057,0.019043,0.00293,-0.00415,-0.026367,0.012695,-0.023438,-0.040527,0.03125,0.007813,-0.024414,-0.003906,-0.007813,-0.004883,0.02478,-0.015625,0.015625,-0.013672,0.019531,0
-0.013672,-0.013672,0.017578,-0.038086,-0.009766,-0.041504,-0.01416,0.044922,0.010742,0.015625,-0.042969,-0.015625,0.025391,0.03418,-0.019531,-0.021484,0.001953,0.03125,-0.00293,-0.017822,-0.027344,-0.042969,0.003906,0.007813,0
-0.005859,0.009766,-0.003906,0.003906,0.003906,-0.008057,0.019043,0.00293,-0.00415,-0.026367,0.012695,-0.023438,-0.040527,0.03125,0.007813,-0.024414,-0.003906,-0.007813,-0.004883,0.02478,-0.015625,0.015625,-0.013672,0.019531,0
0.035156,0.021484,0.035156,0.025391,0.015625,-0.034424,0.026855,0.003906,-0.046631,0.047852,-0.006836,0.011719,0.027832,-0.001953,0.015625,-0.029297,0.019531,-0.025391,-0.023438,0.050171,0,-0.042969,0.017578,-0.050781,1
-0.072266,0.048828,-0.003906,0.024414,0.003906,-0.018799,-0.011719,-0.040527,0.017822,0.022461,0.00293,0,-0.013672,-0.020508,-0.011719,-0.023438,-0.050781,-0.013672,0.007813,0.031982,-0.03125,0.042969,-0.033203,0.011719,0
-0.005859,0.009766,-0.003906,0.003906,0.003906,-0.008057,0.019043,0.00293,-0.00415,-0.026367,0.012695,-0.023438,-0.040527,0.03125,0.007813,-0.024414,-0.003906,-0.007813,-0.004883,0.02478,-0.015625,0.015625,-0.013672,0.019531,0
0.0625,-0.056641,-0.005859,-0.057617,0.03125,0.013184,-0.01416,0,0.03418,0.025391,-0.015625,0.019531,0.000977,0.025391,0.003906,-0.011719,-0.003906,0.021484,0.013672,-0.013184,-0.011719,-0.046875,-0.007813,0.039063,0
-0.048828,0.021484,0.029297,0.032227,0.021484,-0.030762,-0.013672,0.026367,-0.037598,-0.027344,-0.018555,-0.007813,-0.005371,0.011719,-0.011719,0.03125,-0.023438,0.023438,-0.019531,0.002441,0.050781,-0.0625,0.003906,0.0625,1
-0.005859,0.009766,-0.003906,0.003906,0.003906,-0.008057,0.019043,0.00293,-0.00415,-0.026367,0.012695,-0.023438,-0.040527,0.03125,0.007813,-0.024414,-0.003906,-0.007813,-0.004883,0.02478,-0.015625,0.015625,-0.013672,0.019531,1
0.089844,-0.029297,0.011719,-0.030273,-0.021484,-0.020996,0.009277,-0.001953,-0.013672,0.039551,-0.083984,0.023438,-0.001953,-0.013672,-0.011719,-0.009766,0.074219,0.037109,0.001953,-0.019043,-0.023438,-0.03125,0.003906,-0.101563,1
0.009766,0.066406,-0.013672,0.03125,-0.033203,0.033447,0.002441,-0.008301,-0.022705,0.062012,-0.020508,0,0.040527,-0.00293,0.039063,0.053711,-0.005859,-0.011719,0.069336,0.018677,0.011719,-0.027344,-0.007813,-0.019531,1
0.019531,-0.013672,-0.056641,0.102539,0.011719,0.039551,-0.020508,0.084961,0.084473,-0.036621,0.091797,0.101563,0.033691,-0.003906,-0.101563,-0.058594,-0.050781,-0.095703,-0.054688,-0.007202,-0.03125,-0.066406,0.023438,0,0
-0.042969,0.005859,-0.027344,-0.018555,0.001953,0.01123,-0.054199,0.011719,0.049805,0.02002,-0.023438,-0.003906,0.01709,0.000977,-0.023438,0.009766,-0.013672,0.009766,0.032227,-0.057861,-0.027344,0.046875,-0.054688,-0.015625,1
