@relation RandomTit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute ﻿Survived {0,1}
@attribute Cluster {cluster0,cluster1}

@data
61,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
62,0,-1.732051,0,-3.464102,-1.732051,-1.732051,-1.732051,0,3.464102,1.732051,1,cluster1
63,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
64,0,0,0,1.732051,-3.464102,0,-5.196152,-5.196152,0,0,0,cluster0
65,0,0,0,0,-1.732051,0,-1.732051,-3.464102,0,0,1,cluster0
66,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
67,0,1.732051,0,1.732051,-1.732051,0,-3.464102,-3.464102,0,-1.732051,1,cluster0
68,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,1,cluster0
69,1.732051,0,1.732051,1.732051,-3.464102,0,-1.732051,-5.196152,0,0,0,cluster0
70,3.464102,0,3.464102,0,1.732051,0,-1.732051,0,0,0,1,cluster1
71,3.464102,0,1.732051,1.732051,0,-1.732051,-1.732051,1.732051,0,0,1,cluster1
72,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,1,cluster0
73,3.464102,1.732051,3.464102,0,-1.732051,0,-3.464102,-1.732051,0,0,0,cluster1
74,0,1.732051,1.732051,3.464102,0,0,-3.464102,-3.464102,0,-3.464102,0,cluster0
75,1.732051,0,1.732051,3.464102,0,0,0,-3.464102,0,0,1,cluster0
76,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
77,0,1.732051,0,1.732051,-1.732051,0,-3.464102,-3.464102,0,-1.732051,1,cluster0
78,1.732051,0,1.732051,1.732051,-1.732051,-1.732051,-3.464102,-5.196152,0,0,1,cluster0
79,3.464102,1.732051,3.464102,0,0,0,-1.732051,0,0,0,0,cluster1
80,0,0,3.464102,1.732051,-1.732051,0,-5.196152,-5.196152,0,-1.732051,0,cluster0
81,5.196152,0,1.732051,1.732051,0,-1.732051,1.732051,1.732051,0,1.732051,1,cluster1
82,0,0,1.732051,1.732051,-1.732051,0,-3.464102,-3.464102,0,-1.732051,1,cluster0
83,0,1.732051,0,1.732051,-3.464102,0,-5.196152,-5.196152,0,-1.732051,0,cluster0
84,0,0,0,0,-3.464102,0,-3.464102,-5.196152,0,0,0,cluster0
85,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
86,5.196152,0,1.732051,1.732051,-1.732051,-1.732051,0,0,0,1.732051,0,cluster1
87,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
88,1.732051,0,3.464102,-1.732051,0,0,-1.732051,0,1.732051,0,1,cluster1
89,1.732051,-1.732051,3.464102,-1.732051,-1.732051,0,-3.464102,-1.732051,1.732051,1.732051,1,cluster1
90,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
91,3.464102,1.732051,5.196152,0,-1.732051,0,-3.464102,-1.732051,0,-1.732051,0,cluster1
92,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
93,0,1.732051,1.732051,1.732051,0,0,-3.464102,-3.464102,0,-1.732051,1,cluster0
94,0,1.732051,0,3.464102,-1.732051,-1.732051,-5.196152,-3.464102,0,-3.464102,0,cluster0
95,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
96,3.464102,1.732051,3.464102,0,-1.732051,0,-1.732051,0,0,-1.732051,0,cluster1
97,1.732051,0,3.464102,-1.732051,-1.732051,0,-3.464102,-1.732051,1.732051,0,1,cluster1
98,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,1,cluster0
99,3.464102,0,3.464102,0,0,0,-1.732051,0,0,1.732051,1,cluster1
100,1.732051,0,1.732051,3.464102,0,0,1.732051,-1.732051,0,0,1,cluster1
101,3.464102,1.732051,1.732051,0,0,-3.464102,0,0,0,1.732051,0,cluster1
102,5.196152,0,1.732051,1.732051,-1.732051,-1.732051,0,0,0,1.732051,1,cluster1
103,0,0,1.732051,3.464102,0,0,-3.464102,-3.464102,0,-1.732051,1,cluster0
104,0,0,1.732051,3.464102,0,0,-3.464102,-3.464102,0,-1.732051,0,cluster0
105,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
106,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
107,1.732051,0,0,1.732051,-1.732051,-1.732051,-5.196152,-3.464102,0,0,0,cluster0
108,1.732051,0,1.732051,3.464102,0,0,0,-3.464102,0,0,1,cluster0
109,5.196152,-1.732051,3.464102,0,0,0,1.732051,0,0,3.464102,1,cluster1
110,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
111,0,1.732051,1.732051,3.464102,0,0,-3.464102,-3.464102,0,-3.464102,1,cluster0
112,1.732051,1.732051,1.732051,0,-1.732051,-3.464102,-5.196152,-1.732051,0,0,0,cluster1
113,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
114,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
115,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
116,1.732051,0,0,0,-1.732051,-1.732051,-3.464102,0,1.732051,0,0,cluster1
117,0,1.732051,1.732051,3.464102,0,0,-3.464102,-3.464102,0,-3.464102,1,cluster0
118,3.464102,-1.732051,3.464102,-1.732051,-1.732051,0,0,-1.732051,1.732051,3.464102,0,cluster1
119,1.732051,0,1.732051,0,0,0,0,1.732051,1.732051,0,1,cluster1
120,1.732051,-1.732051,3.464102,-1.732051,-1.732051,0,-3.464102,-1.732051,1.732051,1.732051,1,cluster1
121,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
122,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
123,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
124,3.464102,1.732051,5.196152,0,-1.732051,0,-3.464102,-1.732051,0,-1.732051,0,cluster1
125,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
126,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
127,5.196152,0,3.464102,0,0,0,1.732051,0,0,3.464102,1,cluster1
128,1.732051,0,1.732051,-1.732051,-1.732051,0,-1.732051,0,1.732051,0,0,cluster1
129,3.464102,1.732051,1.732051,1.732051,0,-1.732051,-1.732051,1.732051,0,-1.732051,1,cluster1
130,3.464102,0,3.464102,0,-3.464102,0,-3.464102,-1.732051,0,0,1,cluster1
131,0,0,3.464102,1.732051,-1.732051,0,-5.196152,-5.196152,0,-1.732051,0,cluster0
132,1.732051,0,3.464102,-1.732051,0,0,-1.732051,0,1.732051,0,1,cluster1
133,5.196152,0,1.732051,1.732051,-1.732051,-1.732051,0,0,0,1.732051,1,cluster1
134,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
135,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
136,3.464102,1.732051,3.464102,1.732051,-1.732051,0,-3.464102,-1.732051,0,-1.732051,0,cluster1
137,0,0,0,0,-3.464102,0,-3.464102,-5.196152,0,0,1,cluster0
138,0,0,0,0,-1.732051,0,-1.732051,-3.464102,0,0,1,cluster0
139,1.732051,-1.732051,0,-1.732051,0,-1.732051,1.732051,1.732051,3.464102,3.464102,1,cluster1
140,3.464102,1.732051,3.464102,0,-1.732051,0,-1.732051,0,0,-1.732051,0,cluster1
141,1.732051,0,0,3.464102,-1.732051,-1.732051,-1.732051,-3.464102,0,0,0,cluster0
142,0,0,1.732051,3.464102,0,0,-3.464102,-3.464102,0,-1.732051,1,cluster0
143,3.464102,1.732051,3.464102,1.732051,0,0,-1.732051,0,0,-1.732051,1,cluster1
144,1.732051,0,0,3.464102,0,-1.732051,0,-1.732051,0,0,1,cluster1
145,0,0,0,1.732051,-1.732051,-1.732051,-3.464102,-3.464102,0,-1.732051,0,cluster0
146,0,1.732051,1.732051,3.464102,0,0,-3.464102,-3.464102,0,-3.464102,1,cluster0
147,0,0,1.732051,1.732051,-1.732051,0,-1.732051,-3.464102,0,-1.732051,0,cluster0
148,5.196152,0,3.464102,1.732051,-3.464102,0,-3.464102,-1.732051,-1.732051,0,1,cluster1
149,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
150,5.196152,0,1.732051,1.732051,0,-1.732051,1.732051,1.732051,0,1.732051,1,cluster1
151,5.196152,-1.732051,1.732051,0,-1.732051,0,0,-1.732051,0,5.196152,0,cluster1
152,3.464102,0,3.464102,0,-3.464102,0,-3.464102,-1.732051,0,0,1,cluster1
153,3.464102,1.732051,1.732051,1.732051,-1.732051,-1.732051,-3.464102,0,0,-1.732051,1,cluster1
154,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
155,0,0,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-1.732051,0,cluster0
156,1.732051,0,0,1.732051,-3.464102,0,-1.732051,-5.196152,0,1.732051,0,cluster0
157,3.464102,0,1.732051,0,-1.732051,-1.732051,-1.732051,0,0,0,0,cluster1
158,0,1.732051,1.732051,1.732051,-1.732051,0,-3.464102,-3.464102,0,-3.464102,1,cluster0
159,3.464102,0,1.732051,0,-1.732051,-1.732051,0,0,1.732051,1.732051,0,cluster1
160,1.732051,0,1.732051,1.732051,-3.464102,0,-1.732051,-5.196152,0,0,0,cluster0
161,0,1.732051,1.732051,3.464102,0,0,-3.464102,-3.464102,0,-3.464102,0,cluster0
162,3.464102,1.732051,3.464102,0,-1.732051,0,-1.732051,0,0,-1.732051,1,cluster1
163,1.732051,-1.732051,1.732051,0,-1.732051,0,-3.464102,-1.732051,1.732051,1.732051,0,cluster1
164,0,1.732051,0,1.732051,-3.464102,0,-5.196152,-5.196152,0,-1.732051,0,cluster0
165,1.732051,0,3.464102,-1.732051,0,0,-1.732051,0,1.732051,0,0,cluster1
166,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
167,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
168,1.732051,0,3.464102,1.732051,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
169,3.464102,1.732051,3.464102,1.732051,-1.732051,0,-3.464102,-1.732051,0,-1.732051,0,cluster1
170,3.464102,0,1.732051,0,0,-1.732051,0,1.732051,0,0,1,cluster1
171,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
172,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
173,0,0,1.732051,1.732051,-1.732051,0,-3.464102,-5.196152,0,-1.732051,0,cluster0
174,1.732051,0,3.464102,-1.732051,0,0,-1.732051,0,1.732051,0,1,cluster1
175,1.732051,0,1.732051,3.464102,-1.732051,0,0,-3.464102,0,0,0,cluster0
176,0,1.732051,0,3.464102,0,-1.732051,-3.464102,-1.732051,0,-3.464102,1,cluster0
177,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
178,1.732051,1.732051,0,0,-1.732051,-3.464102,-1.732051,0,0,0,0,cluster1
179,5.196152,0,3.464102,0,0,0,1.732051,0,0,3.464102,1,cluster1
180,5.196152,0,3.464102,0,-1.732051,0,0,-1.732051,0,3.464102,0,cluster1
181,1.732051,0,1.732051,-1.732051,0,0,-1.732051,0,1.732051,1.732051,1,cluster1
182,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
183,0,1.732051,0,3.464102,0,-1.732051,-3.464102,-1.732051,0,-3.464102,1,cluster0
184,3.464102,0,1.732051,1.732051,-1.732051,0,0,-3.464102,0,1.732051,0,cluster1
185,0,1.732051,3.464102,1.732051,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
186,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
187,1.732051,0,3.464102,1.732051,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
188,0,0,0,0,-3.464102,0,-3.464102,-5.196152,0,0,0,cluster0
189,0,0,1.732051,3.464102,0,0,-3.464102,-3.464102,0,-1.732051,1,cluster0
190,0,1.732051,0,1.732051,-3.464102,0,-5.196152,-5.196152,0,-1.732051,0,cluster0
191,0,0,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-1.732051,0,cluster0
192,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
193,1.732051,0,1.732051,1.732051,-3.464102,0,-1.732051,-5.196152,0,0,1,cluster0
194,3.464102,1.732051,3.464102,1.732051,-1.732051,0,-3.464102,-1.732051,0,-1.732051,0,cluster1
195,1.732051,0,0,3.464102,-1.732051,0,-1.732051,-5.196152,0,1.732051,0,cluster0
196,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
197,5.196152,0,1.732051,1.732051,-1.732051,-1.732051,0,0,0,1.732051,1,cluster1
198,0,1.732051,0,3.464102,0,-1.732051,-3.464102,-1.732051,0,-3.464102,1,cluster0
199,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
200,1.732051,0,1.732051,1.732051,-3.464102,0,-1.732051,-5.196152,0,0,0,cluster0
201,0,0,0,1.732051,0,-1.732051,0,-1.732051,1.732051,0,1,cluster1
202,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,1,cluster0
203,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
204,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,1,cluster0
205,1.732051,0,0,1.732051,-3.464102,0,-1.732051,-5.196152,0,1.732051,0,cluster0
206,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
207,1.732051,1.732051,0,3.464102,-1.732051,0,-3.464102,-3.464102,-1.732051,-1.732051,1,cluster0
208,1.732051,0,1.732051,3.464102,0,0,0,-3.464102,0,0,0,cluster0
209,1.732051,3.464102,0,1.732051,0,-3.464102,-1.732051,1.732051,0,-1.732051,1,cluster1
210,0,0,1.732051,1.732051,-1.732051,0,-1.732051,-3.464102,0,-1.732051,1,cluster0
211,1.732051,1.732051,0,-1.732051,0,-1.732051,-5.196152,-1.732051,1.732051,-1.732051,0,cluster1
212,5.196152,0,5.196152,0,0,0,1.732051,0,0,1.732051,0,cluster1
213,1.732051,1.732051,1.732051,-1.732051,0,-3.464102,-1.732051,0,-1.732051,-1.732051,0,cluster1
214,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
215,5.196152,0,1.732051,1.732051,0,-1.732051,1.732051,1.732051,0,1.732051,1,cluster1
216,3.464102,1.732051,5.196152,0,-1.732051,0,-3.464102,-1.732051,0,-1.732051,0,cluster1
217,3.464102,1.732051,5.196152,0,0,0,-1.732051,0,0,-1.732051,1,cluster1
218,3.464102,1.732051,3.464102,0,-3.464102,0,-3.464102,-1.732051,0,-1.732051,1,cluster1
219,1.732051,0,0,3.464102,0,-1.732051,0,-1.732051,0,0,1,cluster1
220,3.464102,-1.732051,1.732051,-1.732051,0,0,1.732051,0,1.732051,5.196152,1,cluster1
221,1.732051,-1.732051,1.732051,-1.732051,0,0,-1.732051,0,1.732051,3.464102,1,cluster1
222,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
223,3.464102,0,1.732051,1.732051,0,-1.732051,-1.732051,1.732051,0,0,1,cluster1
224,1.732051,0,0,-1.732051,-1.732051,-1.732051,-5.196152,-1.732051,1.732051,1.732051,0,cluster1
225,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
226,3.464102,0,3.464102,-1.732051,0,0,0,0,0,1.732051,1,cluster1
227,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,1,cluster0
228,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
229,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
230,3.464102,1.732051,3.464102,1.732051,-1.732051,0,-3.464102,-1.732051,0,-1.732051,1,cluster1
231,3.464102,1.732051,3.464102,0,0,0,-1.732051,0,0,0,1,cluster1
232,0,1.732051,0,1.732051,-3.464102,0,-5.196152,-5.196152,0,-1.732051,0,cluster0
233,3.464102,-1.732051,0,-1.732051,0,-1.732051,0,0,1.732051,5.196152,1,cluster1
234,1.732051,1.732051,0,-1.732051,0,-1.732051,-5.196152,-1.732051,1.732051,-1.732051,0,cluster1
235,0,1.732051,3.464102,1.732051,-1.732051,0,-5.196152,-5.196152,0,-3.464102,1,cluster0
236,0,0,1.732051,1.732051,-1.732051,0,-5.196152,-5.196152,0,0,0,cluster0
237,0,1.732051,0,1.732051,-1.732051,-1.732051,-6.928203,-5.196152,0,-1.732051,0,cluster0
238,0,1.732051,0,3.464102,0,-1.732051,-3.464102,-1.732051,0,-3.464102,1,cluster0
239,3.464102,1.732051,1.732051,0,-3.464102,0,-3.464102,-1.732051,0,0,0,cluster1
240,0,1.732051,0,1.732051,-3.464102,0,-5.196152,-5.196152,0,-1.732051,0,cluster0
241,3.464102,-1.732051,1.732051,-1.732051,0,0,1.732051,0,1.732051,5.196152,1,cluster1
242,0,1.732051,3.464102,1.732051,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
243,3.464102,1.732051,3.464102,1.732051,-1.732051,0,-3.464102,-1.732051,0,-1.732051,0,cluster1
244,1.732051,3.464102,0,1.732051,0,-3.464102,-1.732051,1.732051,0,-1.732051,1,cluster1
245,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
246,5.196152,0,5.196152,0,0,0,1.732051,0,0,1.732051,1,cluster1
247,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
248,0,1.732051,1.732051,3.464102,-1.732051,0,-3.464102,-3.464102,0,-3.464102,1,cluster0
249,0,1.732051,0,1.732051,-3.464102,0,-5.196152,-5.196152,0,-1.732051,0,cluster0
250,0,0,1.732051,1.732051,-1.732051,0,-3.464102,-5.196152,0,-1.732051,0,cluster0
251,3.464102,1.732051,3.464102,1.732051,-1.732051,0,-3.464102,-1.732051,0,-1.732051,0,cluster1
252,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
253,1.732051,1.732051,3.464102,0,0,-1.732051,-1.732051,0,0,0,0,cluster1
254,3.464102,1.732051,3.464102,0,1.732051,0,-1.732051,0,0,-1.732051,1,cluster1
255,1.732051,0,3.464102,-1.732051,0,0,-1.732051,0,1.732051,0,0,cluster1
256,0,1.732051,1.732051,1.732051,-1.732051,-1.732051,-6.928203,-5.196152,0,-3.464102,1,cluster0
257,3.464102,0,1.732051,0,0,-1.732051,0,1.732051,0,0,1,cluster1
258,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
259,3.464102,0,1.732051,-1.732051,-1.732051,-3.464102,0,-1.732051,-1.732051,1.732051,0,cluster1
260,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
261,5.196152,0,3.464102,0,-1.732051,0,0,-1.732051,0,3.464102,0,cluster1
262,3.464102,-1.732051,3.464102,-1.732051,0,0,1.732051,0,1.732051,3.464102,1,cluster1
263,1.732051,0,0,1.732051,-3.464102,0,-1.732051,-5.196152,0,1.732051,0,cluster0
264,0,1.732051,1.732051,1.732051,-1.732051,0,-3.464102,-3.464102,0,-3.464102,1,cluster0
